"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"D. Nugent, B.K. Sovacool a)",http://www.sciencedirect.com/science/article/pii/S0301421513010719,Global ,,,1  - Peer Reviewed,2014,,,g CO2-eq/kWh,0.0,t CO2-eq/ TWh,,,
"D. Nugent, B.K. Sovacool b)",http://www.sciencedirect.com/science/article/pii/S0301421513010719,Global ,,,1  - Peer Reviewed,2014,,,g CO2-eq/kWh,0.0,t CO2-eq/ TWh,,,
"D. Nugent, B.K. Sovacool c)",http://www.sciencedirect.com/science/article/pii/S0301421513010719,Global ,,,1  - Peer Reviewed,2014,,,g CO2-eq/kWh,0.0,t CO2-eq/ TWh,,,
"D. Nugent, B.K. Sovacool d)",http://www.sciencedirect.com/science/article/pii/S0301421513010719,Global ,,,1  - Peer Reviewed,2014,,,g CO2-eq/kWh,0.0,t CO2-eq/ TWh,,,
"Garcia Gusano (2016) < 1 MW turbine, onshore",http://www.sciencedirect.com/science/article/pii/S0959652615015462,EU,Norway,,1  - Peer Reviewed,2016,,,g CO2-eq/kWh,0.0,t CO2-eq/ TWh,,,
NTEL (2013) Power Generation Technology Comparsion from a LCA,https://www.netl.doe.gov/File%20Library/Research/Energy%20Analysis/Life%20Cycle%20Analysis/Technology-Assessment-Compilation-Report.pdf,USA,,,2 - Public Sector/ Multilateral Agency,2013,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,
NTEL (2013) Power Generation Technology Comparsion from a LCA,https://www.netl.doe.gov/File%20Library/Research/Energy%20Analysis/Life%20Cycle%20Analysis/Technology-Assessment-Compilation-Report.pdf,USA,,,2 - Public Sector/ Multilateral Agency,2013,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,
2015_Hertwich_Integrated LCA of ELC supply scenarios,http://www.pnas.org/content/112/20/6277.abstract,World,,,1  - Peer Reviewed,2015,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,
"IPCC (2014), median",https://www.ipcc.ch/pdf/assessment-report/ar5/wg3/ipcc_wg3_ar5_full.pdf,,,,1  - Peer Reviewed,2014,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,1.0
"IPCC (2014), high",https://www.ipcc.ch/pdf/assessment-report/ar5/wg3/ipcc_wg3_ar5_full.pdf,,,,1  - Peer Reviewed,2014,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,
"IPCC (2014), low",https://www.ipcc.ch/pdf/assessment-report/ar5/wg3/ipcc_wg3_ar5_full.pdf,,,,1  - Peer Reviewed,2014,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,
2009_Rule et al. Comparison of Life Cycle Carbon Dioxide Emissions and Embodied Energy in Four Renewable Electricity Generation Technologies in New Zealand,https://www.ncbi.nlm.nih.gov/pubmed/19746744,,,,1  - Peer Reviewed,2009,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,
2013_Masanet et al. High (wind),http://www.annualreviews.org/doi/pdf/10.1146/annurev-environ-010710-100408,World,,,1  - Peer Reviewed,2013,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,
2013_Masanet et al. Low (wind),http://www.annualreviews.org/doi/pdf/10.1146/annurev-environ-010710-100409,World,,,1  - Peer Reviewed,2013,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,
