"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
Calculated by Project Drawdown (2016),see  additional Data sheet,Global ,,4 - Independently Verified,2014,,0.0022457755717550953,,,%,,,
Calculated by Project Drawdown (2016),see  additional Data sheet,OECD90,,4 - Independently Verified,2014,,0.002233667820236216,,,%,,,
Calculated by Project Drawdown (2016),see  additional Data sheet,Eastern Europe,,4 - Independently Verified,2014,,0.001086060969215789,,,%,,,
Calculated by Project Drawdown (2016),see  additional Data sheet,Asia (sans Japan),,4 - Independently Verified,2014,,0.0024963283371894174,,,%,,,
Calculated by Project Drawdown (2016),see  additional Data sheet,Middle East & Africa,,4 - Independently Verified,2014,,0.00029711375212224106,,,%,,,
Calculated by Project Drawdown (2016),see  additional Data sheet,Latin America,,4 - Independently Verified,2014,,0.0006944444444444445,,,%,,,
Calculated by Project Drawdown (2016),see  additional Data sheet,China,,4 - Independently Verified,2014,,0.0029981501518271613,,,%,,,
Calculated by Project Drawdown (2016),see  additional Data sheet,India,,4 - Independently Verified,2014,,0.0,,,%,,,
Calculated by Project Drawdown (2016),see  additional Data sheet,EU,,4 - Independently Verified,2014,,0.0016725476522547653,,,%,,,
Calculated by Project Drawdown (2016),see  additional Data sheet,USA,,4 - Independently Verified,2014,,0.003430635882022557,,,%,,,
