Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,46.647327728483106,,,,,,,,,
2013,48.32366386424155,,,,,,,,,
2014,50.0,,,,,,,,,
2015,51.67633613575845,,,,,,,,,
2016,53.35267227151735,,,,,,,,,
2017,55.029008407275796,,,,,,,,,
2018,56.70534454303424,,,,,,,,,
2019,58.38168067879269,,,,,,,,,
2020,60.05801681455159,,,,,,,,,
2021,61.73435295031004,,,,,,,,,
2022,63.41068908606849,,,,,,,,,
2023,65.08702522182693,,,,,,,,,
2024,66.76336135758538,,,,,,,,,
2025,68.43969749334428,,,,,,,,,
2026,70.11603362910273,,,,,,,,,
2027,71.79236976486118,,,,,,,,,
2028,73.46870590061963,,,,,,,,,
2029,75.14504203637853,,,,,,,,,
2030,76.82137817213697,,,,,,,,,
2031,77.3961219901114,,,,,,,,,
2032,77.97086580808559,,,,,,,,,
2033,78.54560962606001,,,,,,,,,
2034,79.12035344403444,,,,,,,,,
2035,79.69509726200863,,,,,,,,,
2036,80.26984107998305,,,,,,,,,
2037,80.84458489795747,,,,,,,,,
2038,81.4193287159319,,,,,,,,,
2039,81.99407253390609,,,,,,,,,
2040,82.56881635188051,,,,,,,,,
2041,83.14356016985494,,,,,,,,,
2042,83.71830398782936,,,,,,,,,
2043,84.29304780580355,,,,,,,,,
2044,84.86779162377798,,,,,,,,,
2045,85.4425354417524,,,,,,,,,
2046,86.01727925972682,,,,,,,,,
2047,86.59202307770101,,,,,,,,,
2048,87.16676689567544,,,,,,,,,
2049,87.74151071364986,,,,,,,,,
2050,88.31625453162405,,,,,,,,,
2051,88.89099834959848,,,,,,,,,
2052,89.4657421675729,,,,,,,,,
2053,90.04048598554732,,,,,,,,,
2054,90.61522980352152,,,,,,,,,
2055,91.18997362149594,,,,,,,,,
2056,91.76471743947036,,,,,,,,,
2057,92.33946125744478,,,,,,,,,
2058,92.91420507541898,,,,,,,,,
2059,93.4889488933934,,,,,,,,,
2060,94.06369271136782,,,,,,,,,
