Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,47.871319192687224,,,,,,,,,
2013,48.93565959634361,,,,,,,,,
2014,49.999999999999545,,,,,,,,,
2015,51.06434040365593,,,,,,,,,
2016,52.12868080731232,,,,,,,,,
2017,53.193021210968254,,,,,,,,,
2018,54.25736161462464,,,,,,,,,
2019,55.321702018280575,,,,,,,,,
2020,56.38604242193696,,,,,,,,,
2021,57.45038282559335,,,,,,,,,
2022,58.514723229249284,,,,,,,,,
2023,59.57906363290567,,,,,,,,,
2024,60.64340403656206,,,,,,,,,
2025,61.70774444021799,,,,,,,,,
2026,62.77208484387438,,,,,,,,,
2027,63.83642524753077,,,,,,,,,
2028,64.9007656511867,,,,,,,,,
2029,65.96510605484309,,,,,,,,,
2030,67.02944645849948,,,,,,,,,
2031,68.09378686215541,,,,,,,,,
2032,69.1581272658118,,,,,,,,,
2033,70.22246766946773,,,,,,,,,
2034,71.28680807312412,,,,,,,,,
2035,72.35114847678051,,,,,,,,,
2036,73.41548888043644,,,,,,,,,
2037,74.47982928409283,,,,,,,,,
2038,75.54416968774922,,,,,,,,,
2039,76.60851009140515,,,,,,,,,
2040,77.67285049506154,,,,,,,,,
2041,78.73719089871793,,,,,,,,,
2042,79.80153130237386,,,,,,,,,
2043,80.86587170603025,,,,,,,,,
2044,81.93021210968618,,,,,,,,,
2045,82.99455251334257,,,,,,,,,
2046,84.05889291699896,,,,,,,,,
2047,85.12323332065489,,,,,,,,,
2048,86.18757372431128,,,,,,,,,
2049,87.25191412796767,,,,,,,,,
2050,88.3162545316236,,,,,,,,,
2051,89.38059493527999,,,,,,,,,
2052,90.44493533893638,,,,,,,,,
2053,91.50927574259231,,,,,,,,,
2054,92.5736161462487,,,,,,,,,
2055,93.63795654990463,,,,,,,,,
2056,94.70229695356102,,,,,,,,,
2057,95.7666373572174,,,,,,,,,
2058,96.83097776087334,,,,,,,,,
2059,97.89531816452973,,,,,,,,,
2060,98.95965856818611,,,,,,,,,
