Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,2345.0,1951.4730804852375,253.46111286277178,369.3725154194391,26.439408146496888,36.13374310732705,146.1616022812816,46.89618982526887,854.20862360986,734.5689235971356
2013,2364.0,1974.8401763772106,264.3308001132919,403.7894159172823,29.804522144496673,37.74062197589731,181.52219212096617,55.364014503569635,850.6470354762797,752.5829583049433
2014,2417.0,1987.4640702954182,275.03895521774024,438.73519762549404,33.64018690577355,39.61638978037258,213.23489196395687,65.22087752561265,837.3728288766713,763.0809367197982
2015,2606.7026232354174,2010.24487164168,286.23260086348483,473.33190707624743,37.095969338902044,41.23980007901878,248.0646567829753,73.8666861662147,833.0799284162624,780.4643548623725
2016,2720.444454760336,2032.8398309600275,297.37685499437197,508.0112809206097,40.56331554520029,42.86619020922004,283.0000152171044,82.51759364472873,828.7870279558535,797.9043042615515
2017,2830.5624676531243,2055.2602299017376,308.4752618848597,542.7713864637101,44.04168040316457,44.49504284071575,318.0425846559307,91.17569584979083,824.6609521859747,815.3786745006493
2018,2937.125666695153,2077.5472910868943,319.5314026718168,577.5959049975102,47.53226874768884,46.12619806397704,353.1745420461271,99.8418061967742,820.607637657443,832.8883321466732
2019,3038.045037736304,2099.7638738660303,330.55960233757116,612.4549412848163,51.03771242813488,47.75922164536516,388.36162544069845,108.51335631194428,816.5784582695198,850.4216470305721
2020,3138.9644087774545,2115.205932168149,337.3756903902824,647.3216402520834,54.56035764744812,49.393780332736036,423.56824741760647,117.18765935651324,813.8357596494805,867.9686487470691
2021,3288.759548613765,2130.6479904702674,344.1917784429936,710.6056254090681,56.25517191406298,51.64754017783168,466.7425320959773,129.5595405309759,811.093061029441,873.6283235052002
2022,3363.160644533934,2139.3395931193522,350.70390667862205,773.9121822702094,57.95965824858416,53.90380549585897,509.9097248823002,141.93728219246424,809.6389880654199,879.3290212768071
2023,3437.561740454134,2148.0637371724906,356.5174084927229,837.24078807531,59.67300738689366,56.16263237968136,553.065573618872,154.32156697932172,808.1821398726491,885.0555734163029
2024,3511.9628363743345,2156.85022641882,361.65908899395504,900.6021149475037,61.39382568647917,58.42409541982732,596.2224440351715,166.71299708563754,806.7332771358749,890.787034067903
2025,3567.763658314485,2165.7200169002717,366.15575329097715,964.0076843627527,63.121078299704976,60.688291383010686,639.3951776824554,179.11191659434772,805.3079920510983,896.5061743783244
2026,3623.564480254635,2174.686624876531,370.034206492448,1027.4581664639409,64.8546022749884,62.95527988729056,682.5836598624928,191.51857194119177,803.8827069663216,902.2078597448356
2027,3735.166124134935,2183.7470144850217,373.32125370702636,1090.9503602309621,66.59482691805961,65.2251904756165,725.7834094145898,203.93265262390187,802.4768230077657,907.8895589325898
2028,3809.5672200551353,2192.883320070205,376.0437000433709,1154.4924009967554,68.34198015294267,67.49830883621892,769.0085341758376,216.3530628179754,801.0896260526031,913.5398145989993
2029,3883.9683159753354,2202.066869447669,378.2283506101406,1218.0958320182172,70.09645580446417,69.77500471832276,812.2801579621239,228.7781075385346,799.7294880467895,919.146127703632
2030,3958.3694118955273,2210.58562995808,379.65991773986525,1281.7722032564698,71.85856981374636,72.05560786669109,855.6202049085913,241.2061974993073,801.9131295470083,924.699327452908
2031,4016.4299587705677,2219.104390468491,381.09148486958986,1320.035138605953,74.28987756496262,73.4018664990353,865.3345182848875,249.23414275009816,804.0967710472271,910.6781410774988
2032,4074.490505645615,2226.9552744532234,381.8235787795871,1358.3638079959064,76.73162302052216,74.75120408692747,875.1102444443203,257.26284194559656,804.570460621411,896.6288786138465
2033,4132.551052520663,2234.810213019565,382.12509735464437,1396.7633388196978,79.18419075566321,76.10364345527275,884.959935278088,265.2913179967222,804.807305408503,882.5588876328993
2034,4190.61159939571,2242.6495834110374,382.0228457034205,1435.237490709237,81.64808711052656,77.4591438560192,894.8956544563315,273.31854226047955,805.0441501955949,868.4784160205481
2035,4248.672146270757,2250.458819665218,381.54362893457414,1473.7904384100818,84.12364452475299,78.81770368384102,904.9271659828547,281.3440728216646,805.1848096766212,854.3955520978582
2036,4306.732693145806,2258.229731262429,380.71425215676413,1512.4269594095415,86.61101264049594,80.17939041422527,915.0633336107409,289.3673365988508,805.1581948840858,840.3138223680422
2037,4364.793240020853,2265.962885874905,379.5615204786493,1551.1533536546508,89.1099690882116,81.54435562799227,925.3081984226963,297.3894305716065,804.91648132438,826.2345688921406
2038,4422.8537868959,2273.664096079524,378.1122390088882,1589.9768086064919,91.61999157268222,82.91277216958997,935.659569680359,305.4139499156878,804.411844503896,812.1610613414132
