Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,2345.0,,,,,,,,,
2013,2364.0,,,,,,,,,
2014,2417.0,,,,,,,,,
2015,2571.0,,,,,,,,,
2016,2606.0,,,,,,,,,
2017,2603.175995924517,,,,,,,,,
2018,2648.614411772267,,,,,,,,,
2019,2692.854748846891,,,,,,,,,
2020,2735.897007148389,,,,,,,,,
2021,2777.7411866767616,,,,,,,,,
2022,2818.3872874320077,,,,,,,,,
2023,2857.8353094141276,,,,,,,,,
2024,2896.085252623122,,,,,,,,,
2025,2933.13711705899,,,,,,,,,
2026,2968.9909027217323,,,,,,,,,
2027,3003.646609611348,,,,,,,,,
2028,3037.1042377278386,,,,,,,,,
2029,3069.3637870712028,,,,,,,,,
2030,3099.826218254878,,,,,,,,,
2031,3130.288649438553,,,,,,,,,
2032,3158.9539624625395,,,,,,,,,
2033,3186.4211967133997,,,,,,,,,
2034,3212.6903521911336,,,,,,,,,
2035,3237.761428895742,,,,,,,,,
2036,3261.634426827224,,,,,,,,,
2037,3284.3093459855804,,,,,,,,,
2038,3305.7861863708104,,,,,,,,,
2039,3326.0649479829144,,,,,,,,,
2040,3344.54659143533,,,,,,,,,
2041,3363.028234887745,,,,,,,,,
2042,3379.7127601804714,,,,,,,,,
2043,3395.199206700072,,,,,,,,,
2044,3409.4875744465458,,,,,,,,,
2045,3422.577863419894,,,,,,,,,
2046,3434.470073620116,,,,,,,,,
2047,3445.1642050472124,,,,,,,,,
2048,3454.6602577011827,,,,,,,,,
2049,3462.958231582027,,,,,,,,,
2050,3469.459087303182,,,,,,,,,
2051,3475.9599430243375,,,,,,,,,
2052,3480.663680585804,,,,,,,,,
2053,3484.1693393741443,,,,,,,,,
2054,3486.476919389358,,,,,,,,,
2055,3487.5864206314463,,,,,,,,,
2056,3487.497843100409,,,,,,,,,
2057,3486.211186796245,,,,,,,,,
2058,3483.7264517189556,,,,,,,,,
2059,3480.0436378685395,,,,,,,,,
2060,3475.162745244998,,,,,,,,,
