Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,2345.0,,,,,,74.59442630632839,30.569016767067296,881.8922180320969,822.401943899387
2013,2364.0,,,,,,111.613,34.228,876.836,822.004
2014,2417.0,,,,,,148.63157369365217,37.886983232932835,871.7797819679054,821.6060561006128
2015,2467.512102537786,,,,,,185.6501473873068,41.545966465864694,877.8566234373754,821.2081122012258
2016,2518.0242050755724,,,,,,222.66872108097596,45.20494969879746,883.9334649068455,820.8101683018388
2017,2692.522363945741,,,,,,259.6872947746306,48.86393293173023,888.6929922041668,820.4122244024517
2018,2865.6650793975805,,,,,,296.70586846829974,52.52291616466209,892.6589723947827,820.0142805030646
2019,3037.3137810249987,,,,,,333.72444216195436,56.18189939759486,895.838835343613,819.6163366036776
2020,3110.4667859770666,,,,,,370.74301585562705,59.840882630527176,897.8543821596048,819.2183927042906
2021,3275.835628675006,,,,,,457.84763472908526,69.10001736065169,899.8699289755966,823.291009965531
2022,3441.204471372941,,,,,,544.9522536025615,78.35915209077939,900.7360193885894,827.3636272267722
2023,3606.573314070818,,,,,,632.0568724760378,87.61828682090709,900.845712019476,831.4362444880135
2024,3771.942156768753,,,,,,719.1614913495141,96.87742155103115,900.2064367331761,839.6030073166221
2025,3937.3109994665774,,,,,,806.2661102230244,106.13655628116156,898.4585693009362,847.7697701452308
2026,4116.1068433424225,,,,,,886.2171140805876,134.5004955593322,896.7107018686962,852.1311679213904
2027,4294.902687218273,,,,,,966.1681179381849,162.86443483750918,893.869102020356,856.6043084330803
2028,4473.698531094124,,,,,,1046.119121795753,191.2283741156789,890.3082537145084,861.1547801306655
2029,4652.494374969974,,,,,,1126.0701256533212,219.5923133938486,886.0355868160735,865.7481714645108
2030,4831.290218845872,,,,,,1206.021129510896,247.95625267202456,880.7100517585973,870.3371191534767
2031,4971.833232283068,,,,,,1278.6468072299322,277.0876832843933,875.384516701121,874.9260668424425
2032,5112.376245720312,,,,,,1351.272484948975,306.21911389676825,864.8197677042017,881.5402926414301
2033,5252.919259157556,,,,,,1423.898162668018,335.35054450913594,859.537393205742,884.8474055409239
2034,5393.462272594799,,,,,,1496.5238403870317,364.4819751215109,854.2550187072823,888.1545184404176
2035,5534.005286032107,,,,,,1569.1495181060563,393.6134057338867,845.8674674166392,892.28278504949
2036,5661.546844146447,,,,,,1601.339536195199,423.92070323158987,836.8201065878476,896.2130904473779
2037,5789.088402260764,,,,,,1633.5295542843523,454.2280007292866,827.1203660858271,899.9110230844462
2038,5916.629960375081,,,,,,1665.7195723735058,484.53529822699056,816.7756757754976,903.3421714110599
2039,6044.171518489398,,,,,,1697.9095904626593,514.8425957246873,805.7934655217788,909.6783161715398
2040,6171.7130766036935,,,,,,1730.0996085518154,545.1498932223825,793.8698350828158,916.0144609320197
2041,6242.198689539364,,,,,,1767.2604539435706,579.3793591580179,781.9462046438528,918.00883798215
2042,6312.6843024750415,,,,,,1804.421299335314,613.6088250936591,769.0960137494852,920.0032150322809
2043,6383.169915410719,,,,,,1841.5821447270719,647.8382910292858,755.3378370620126,921.9975920824118
2044,6453.655528346397,,,,,,1878.7429901188298,682.0677569649124,741.57966037454,923.9919691325426
2045,6524.141141282082,,,,,,1915.9038355105884,716.2972229005446,726.928357623802,922.701580205028
2046,6571.488460879293,,,,,,1933.3125240138615,744.7262374254569,711.6915439841133,921.4111912775134
2047,6618.835780476496,,,,,,1950.7212125171354,773.1552519503675,695.876649320394,916.8360363723532
2048,6666.1831000737,,,,,,1968.1299010204166,801.5842664752781,679.4911034975637,912.260881467193
2049,6713.530419670904,,,,,,1985.5385895236977,830.0132810001887,662.5423363805425,907.6857265620329
2050,6760.877739268108,,,,,,2002.9472780269716,858.4422955250993,632.6420076354609,903.1105716568727
2051,6808.225058865311,,,,,,2020.3559665302528,886.8713100500099,602.7416788903793,898.5354167517125
2052,6855.572378462515,,,,,,2037.7646550335267,915.3003245749205,587.328839515405,893.9602618465524
2053,6902.919698059719,,,,,,2055.173343536808,943.7293390998311,571.9160001404343,889.3851069413922
2054,6950.267017656923,,,,,,2072.5820320400817,972.1583536247417,556.50316076546,884.8099520362321
2055,6997.614337254126,,,,,,2089.990720543363,1000.5873681496523,541.0903213904858,880.2347971310719
2056,7044.96165685133,,,,,,2107.3994090466367,1029.016382674563,525.6774820155115,875.6596422259117
2057,7092.3089764485485,,,,,,2124.808097549918,1057.4453971994735,510.2646426405372,871.0844873207534
2058,7139.656296045752,,,,,,2142.2167860531918,1085.8744117243768,494.8518032655629,866.5093324155932
2059,7187.003615642956,,,,,,2159.625474556473,1114.3034262492874,479.43896389058864,861.9341775104331
2060,7234.35093524016,,,,,,2177.034163059747,1142.732440774198,464.02612451561436,857.3590226052729
