Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,2345.0,,,,,,,,,
2013,2364.0,,,,,,,,,
2014,2417.0,,,,,,,,,
2015,2751.006074268545,,,,,,,,,
2016,2883.198074336687,,,,,,,,,
2017,2991.729652378063,,,,,,,,,
2018,3077.6466223386906,,,,,,,,,
2019,3141.9947981645882,,,,,,,,,
2020,3287.528,,,,,,,,,
2021,3210.1680231962664,,,,,,,,,
2022,3216.0847002940823,,,,,,,,,
2023,3204.6158390412406,,,,,,,,,
2024,3176.8072533837585,,,,,,,,,
2025,3133.704757267655,,,,,,,,,
2026,3076.3541646389485,,,,,,,,,
2027,3005.801289443655,,,,,,,,,
2028,2923.0919456277943,,,,,,,,,
2029,2829.2719471373834,,,,,,,,,
2030,2725.3871079184414,,,,,,,,,
2031,2612.4832419169857,,,,,,,,,
2032,2491.6061630790336,,,,,,,,,
2033,2363.801685350605,,,,,,,,,
2034,2230.1156226777152,,,,,,,,,
2035,2091.5937890063847,,,,,,,,,
2036,1949.2819982826304,,,,,,,,,
2037,1804.2260644524713,,,,,,,,,
2038,1657.4718014619257,,,,,,,,,
2039,1510.0650232570088,,,,,,,,,
2040,1363.0515437837403,,,,,,,,,
2041,1217.47717698814,,,,,,,,,
2042,1074.387736816223,,,,,,,,,
2043,934.8290372140082,,,,,,,,,
2044,799.8468921275135,,,,,,,,,
2045,670.4871155027586,,,,,,,,,
2046,547.7955212857614,,,,,,,,,
2047,432.8179234225381,,,,,,,,,
2048,326.6001358591084,,,,,,,,,
2049,230.1879725414865,,,,,,,,,
2050,0.0,,,,,,,,,
2051,0.0,,,,,,,,,
2052,0.0,,,,,,,,,
2053,0.0,,,,,,,,,
2054,0.0,,,,,,,,,
2055,0.0,,,,,,,,,
2056,0.0,,,,,,,,,
2057,0.0,,,,,,,,,
2058,0.0,,,,,,,,,
2059,0.0,,,,,,,,,
2060,0.0,,,,,,,,,
