Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,21534.0,9741.544452291633,1934.114110973214,7709.775296666008,1620.0,1546.0217396455091,5024.0,1128.0,3190.077316997973,4418.828910122117
2013,22203.0,9743.60139759519,1937.8351018782732,8158.180039891439,1663.907883173472,1570.519832699157,5374.655770355504,1179.2925501446043,3203.1405153393716,4397.94677514345
2014,22548.299,9675.972066868373,1943.502430745102,8532.827383621017,1722.1643566112161,1598.9818339383082,5558.549967260861,1260.6784700648452,3184.9535279023635,4334.749055742242
2015,24063.57105066699,9677.091924007707,1958.2820019737985,8904.46667757342,1765.3713082999823,1620.5033371431036,5820.3518876459975,1324.6991748186185,3195.953930355642,4325.158658804735
2016,24558.707548275306,9694.845889531687,1977.9991672316717,9281.478038639183,1815.5136565480736,1645.5918591483469,6071.138245044899,1396.9116301535355,3206.9934948989453,4328.285287845295
2017,25090.37395508468,9728.116047508902,2002.4506049211082,9663.48710185345,1872.637110857326,1674.0880748523898,6311.290391015407,1477.0027392746474,3218.049801518544,4343.232549123472
2018,25656.490225276146,9775.83481546503,2031.3992198672368,10049.94488093597,1936.8274696516817,1705.8451007453505,6541.038887806657,1564.6319309031933,3229.128099215797,4369.144341112024
2019,26254.83878744325,9836.977452578207,2064.6745814671212,10440.115137691791,2008.1845568003423,1740.6969374110101,6760.501978629913,1659.392574408761,3240.222820120261,4405.1525720459285
2020,27438.193330373855,10047.752237548053,2111.9098355829865,11137.668424171223,2153.4458195396974,1812.7897968599254,7159.786767965686,1776.4763238638602,3251.327156883028,4503.2953626037615
2021,27539.936800689666,9995.277680566775,2143.2933369180964,11229.183027724326,2172.73273903743,1819.0911440050038,7169.322120004801,1868.813105227966,3249.572230484034,4504.02200362891
2022,28223.012329556896,10090.177061291928,2187.9785828537383,11627.413706910766,2266.0384582184643,1862.396043325555,7359.349847283735,1982.892125803055,3247.857745988008,4565.19795272764
2023,28930.760745825857,10194.183625521908,2235.817257407671,12027.813901716103,2366.726918307285,1908.283293077217,7540.269875124714,2102.8644468557795,3246.1433917195286,4633.010100461004
2024,29661.490183062142,10306.31308612747,2286.4898950677766,12430.262756195612,2474.7893303193327,1956.637736531542,7712.467864403151,2228.4924784258997,3244.3746711453455,4706.528778721706
2025,30231.802511977854,10363.320779014597,2339.2469396416664,12766.749568109386,2542.4113934042743,2005.836325223451,7827.29181225646,2365.3957872192677,3242.515498660722,4759.402602918293
