"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"IPCC WG3 AR5 (Table A.III.1) Nuclear, min",https://www.ipcc.ch/pdf/assessment-report/ar5/wg3/ipcc_wg3_ar5_annex-iii.pdf,World,,,1  - Peer Reviewed,2014,,,US$2010/kW,0.0,US$2014/kW,,,
"IPCC WG3 AR5 (Table A.III.1) Nuclear, median",https://www.ipcc.ch/pdf/assessment-report/ar5/wg3/ipcc_wg3_ar5_annex-iii.pdf,World,,,1  - Peer Reviewed,2014,,,US$2010/kW,0.0,US$2014/kW,,Excluded since it is the median,1.0
"IPCC WG3 AR5 (Table A.III.1) Nuclear, max",https://www.ipcc.ch/pdf/assessment-report/ar5/wg3/ipcc_wg3_ar5_annex-iii.pdf,World,,,1  - Peer Reviewed,2014,,,US$2010/kW,0.0,US$2014/kW,,,
"EIA, Updated Capital Cost Estimates for Utility Scale Electricity Generating Plants, April 2013",http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,USA,,,2 - Public Sector/ Multilateral Agency,2013,,,US$2012/kW,0.0,US$2014/kW,,,
"IAEA, Climate Change and Nuclear Power, 2013, low",http://www-pub.iaea.org/MTCD/Publications/PDF/Pub_Climate-Change-NP-2013_web.pdf,World,,,2 - Public Sector/ Multilateral Agency,2013,,,US$2012/kW,0.0,US$2014/kW,,,
"IAEA, Climate Change and Nuclear Power, 2013, high",http://www-pub.iaea.org/MTCD/Publications/PDF/Pub_Climate-Change-NP-2013_web.pdf,World,,,2 - Public Sector/ Multilateral Agency,2013,,,US$2012/kW,0.0,US$2014/kW,,,
JRC (2013) - 3rd generation LWR planned,http://publications.jrc.ec.europa.eu/repository/handle/JRC85804,EU,,,2 - Public Sector/ Multilateral Agency,2013,,,Eur2010/kW,0.0,US$2014/kW,,"Conversion rate used €/$ - 1,39448",
JRC (2013) - 3rd generation non-planned,http://publications.jrc.ec.europa.eu/repository/handle/JRC85804,EU,,,2 - Public Sector/ Multilateral Agency,2013,,,Eur2010/kW,0.0,US$2014/kW,,"Conversion rate used €/$ - 1,39448",
JRC ETRI (2014) - nuclear fission Generation III light water reactor. LOW,http://publications.jrc.ec.europa.eu/repository/handle/JRC92496,EU,,,2 - Public Sector/ Multilateral Agency,2014,,,Eur2013/kW,0.0,US$2014/kW,,"Conversion rate used €/$ - 1,39448",1.0
JRC ETRI (2014) - nuclear fission Generation III light water reactor. HIGH,http://publications.jrc.ec.europa.eu/repository/handle/JRC92496,EU,,,2 - Public Sector/ Multilateral Agency,2014,,,Eur2013/kW,0.0,US$2014/kW,,"Conversion rate used €/$ - 1,39448",1.0
"Lazard's LCOE Analysis–Version 11.0, 2017_Nuclear_Low",https://www.lazard.com/perspective/levelized-cost-of-energy-2017/,USA,,,3 - For Profit,2017,,,US$2017/kW,0.0,US$2014/kW,,,1.0
"Lazard's LCOE Analysis–Version 11.0, 2017_Nuclear_High",https://www.lazard.com/perspective/levelized-cost-of-energy-2017/,USA,,,3 - For Profit,2017,,,US$2017/kW,0.0,US$2014/kW,,,1.0
Ram et al. (2017). Global Energy System Based on 100% Renewable Energy - Power Sector. Study by Lappeenranta University of technology and Energy Watch Group. Berlin.,http://energywatchgroup.org/wp-content/uploads/2017/11/Full-Study-100-Renewable-Energy-Worldwide-Power-Sector.pdf,World,,,2 - Public Sector/ Multilateral Agency,2017,,,€2017/kW,0.0,US$2014/kW,,"Conversion rate used €/$ - 1,39448",1.0
