Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,12.678542235866189,6.246309394926357,-4.535451845324133,-9.55262109850446,-10.414220875240062,30.934526660013944,,,,
2013,42.18143704509566,14.016380457924242,0.6308989912213292,-0.9332847810037492,-5.084884763902664,33.552327140857415,,,,
2014,71.68433185432514,21.786451520923947,5.797249827766791,7.6860515364969615,0.24445134743655217,36.170127621700885,,,,
2015,101.18722666355461,29.556522583923652,10.963600664312253,16.305387853997672,5.573787458775769,38.787928102545266,,,,
2016,130.6901214727768,37.32659364692154,16.129951500857715,24.924724171498383,10.903123570114985,41.405728583388736,,,,
2017,160.19301628200628,45.09666470992124,21.296302337403176,33.544060488999094,16.232459681454202,44.02352906423221,,,,
2018,189.69591109123576,52.86673577292095,26.462653173948638,42.163396806499804,21.5617957927916,46.64132954507568,,,,
2019,219.19880590046523,60.63680683591883,31.6290040104941,50.782733124000515,26.891131904130816,49.25913002591915,,,,
2020,248.70170070968743,68.40687789891854,36.79535484703956,59.402069441501226,32.22046801547003,51.87693050676262,,,,
2021,278.2045955189169,76.17694896191824,41.96170568358502,68.02140575900194,37.54980412680925,54.49473098760609,,,,
2022,307.7074903281464,83.94702002491613,47.128056520130485,76.64074207650265,42.879140238148466,57.11253146844956,,,,
2023,337.21038513737585,91.71709108791583,52.29440735667595,85.26007839400336,48.20847634948768,59.73033194929303,,,,
2024,366.71327994659805,99.48716215091554,57.46075819322141,93.87941471150407,53.53781246082508,62.3481324301365,,,,
2025,396.2161747558275,107.25723321391342,62.62710902976687,102.49875102900478,58.8671485721643,64.96593291098088,,,,
2026,425.719069565057,115.02730427691313,67.79345986631233,111.11808734650185,64.19648468350351,67.58373339182435,,,,
2027,455.2219643742865,122.79737533991283,72.9598107028578,119.73742366400256,69.52582079484273,70.20153387266782,,,,
2028,484.72485918350867,130.56744640291072,78.12616153940326,128.35675998150327,74.85515690618195,72.8193343535113,,,,
2029,514.2277539927381,138.33751746591042,83.29251237594872,136.97609629900398,80.18449301751934,75.43713483435477,,,,
2030,543.7306488019676,146.10758852891013,88.458863212496,145.5954326165047,85.51382912885856,78.05493531519824,,,,
2031,573.2335436111898,153.877659591908,93.62521404904146,154.2147689340054,90.84316524019778,80.6727357960417,,,,
2032,602.7364384204193,161.64773065490772,98.79156488558692,162.83410525150612,96.172501351537,83.29053627688518,,,,
2033,632.2393332296488,169.41780171790742,103.95791572213238,171.45344156900683,101.50183746287621,85.90833675772865,,,,
2034,661.7422280388782,177.18787278090713,109.12426655867785,180.07277788650754,106.83117357421543,88.52613723857303,,,,
2035,691.2451228481004,184.957943843905,114.29061739522331,188.69211420400825,112.16050968555282,91.1439377194165,,,,
2036,720.7480176573299,192.72801490690472,119.45696823176877,197.31145052150896,117.48984579689204,93.76173820025997,,,,
2037,750.2509124665594,200.49808596990442,124.62331906831423,205.93078683900967,122.81918190823126,96.37953868110344,,,,
2038,779.7538072757889,208.2681570329023,129.7896699048597,214.55012315651038,128.14851801957047,98.99733916194691,,,,
2039,809.256702085011,216.038228095902,134.95602074140515,223.1694594740111,133.4778541309097,101.61513964279038,,,,
2040,838.7595968942405,223.80829915890172,140.12237157795062,231.7887957915118,138.8071902422471,104.23294012363385,,,,
2041,868.26249170347,231.5783702218996,145.28872241449608,240.40813210900887,144.1365263535863,106.85074060447732,,,,
2042,897.7653865126995,239.3484412848993,150.45507325104154,249.02746842650959,149.46586246492552,109.4685410853208,,,,
2043,927.2682813219217,247.118512347899,155.621424087587,257.6468047440103,154.79519857626474,112.08634156616426,,,,
2044,956.7711761311512,254.8885834108969,160.78777492413246,266.266141061511,160.12453468760395,114.70414204700865,,,,
2045,986.2740709403806,262.6586544738966,165.95412576067793,274.8854773790117,165.45387079894317,117.32194252785212,,,,
2046,1015.7769657496101,270.4287255368963,171.1204765972234,283.50481369651243,170.78320691028057,119.93974300869559,,,,
2047,1045.2798605588323,278.1987965998942,176.28682743376885,292.12415001401314,176.11254302161979,122.55754348953906,,,,
2048,1074.7827553680618,285.9688676628939,181.4531782703143,300.74348633151385,181.441879132959,125.17534397038253,,,,
2049,1104.2856501772912,293.7389387258936,186.61952910685977,309.36282264901456,186.77121524429822,127.793144451226,,,,
2050,1133.7885449865134,301.5090097888915,191.78587994340523,317.98215896651527,192.10055135563744,130.41094493206947,,,,
2051,1163.291439795743,309.2790808518912,196.9522307799507,326.601495284016,197.42988746697483,133.02874541291294,,,,
2052,1192.7943346049724,317.0491519148909,202.11858161649616,335.2208316015167,202.75922357831405,135.6465458937564,,,,
2053,1222.2972294142019,324.8192229778888,207.28493245304162,343.8401679190174,208.08855968965327,138.2643463746008,,,,
2054,1251.800124223424,332.5892940408885,212.45128328958708,352.4595042365181,213.41789580099248,140.88214685544426,,,,
2055,1281.3030190326535,340.3593651038882,217.61763412613254,361.0788405540188,218.7472319123317,143.49994733628773,,,,
2056,1310.805913841883,348.1294361668861,222.783984962678,369.6981768715159,224.07656802367092,146.1177478171312,,,,
2057,1340.3088086511125,355.8995072298858,227.95033579922347,378.3175131890166,229.4059041350083,148.73554829797467,,,,
2058,1369.8117034603347,363.6695782928855,233.11668663576893,386.9368495065173,234.73524024634753,151.35334877881814,,,,
2059,1399.3145982695642,371.4396493558834,238.2830374723144,395.55618582401803,240.06457635768675,153.97114925966162,,,,
2060,1417.2356812331475,376.8862622361149,239.73234992925742,397.4776987081431,240.1256891945451,156.5889497405051,,,,
