Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,13.562,,,,,,,,,
2013,19.088,,,,,,,,,
2014,24.965707760784667,,,,,,,,,
2015,55.309319930861435,,,,,,,,,
2016,70.9379149758647,,,,,,,,,
2017,86.23576017394674,,,,,,,,,
2018,101.28722184685549,,,,,,,,,
2019,116.17634027395596,,,,,,,,,
2020,130.99061950859465,,,,,,,,,
2021,145.8048987432333,,,,,,,,,
2022,160.71465961435007,,,,,,,,,
2023,175.80333730075552,,,,,,,,,
2024,191.15881230635082,,,,,,,,,
2025,207.09093817947132,,,,,,,,,
2026,223.02306405259182,,,,,,,,,
2027,239.70778903949628,,,,,,,,,
2028,257.0128683528343,,,,,,,,,
2029,275.02827937405965,,,,,,,,,
2030,294.2901197001951,,,,,,,,,
2031,313.55196002633045,,,,,,,,,
2032,334.2417852023542,,,,,,,,,
2033,356.0054502496113,,,,,,,,,
2034,378.9349648557567,,,,,,,,,
2035,403.1228618351743,,,,,,,,,
2036,428.66216076110516,,,,,,,,,
2037,455.6464881153693,,,,,,,,,
2038,484.17013865344995,,,,,,,,,
2039,514.3280347364971,,,,,,,,,
2040,556.4206064667337,,,,,,,,,
2041,579.9286489592863,,,,,,,,,
2042,615.5633994021662,,,,,,,,,
2043,653.2159724891698,,,,,,,,,
2044,692.982625152608,,,,,,,,,
2045,734.9601003639762,,,,,,,,,
2046,779.2459862732909,,,,,,,,,
2047,825.9384800440679,,,,,,,,,
2048,875.1358255986671,,,,,,,,,
2049,926.9365336236859,,,,,,,,,
2050,979.0428399352571,,,,,,,,,
2051,1038.7442658743312,,,,,,,,,
2052,1098.950770141039,,,,,,,,,
2053,1162.156033313246,,,,,,,,,
2054,1228.4559061964292,,,,,,,,,
2055,1297.947140961084,,,,,,,,,
2056,1370.728548439374,,,,,,,,,
2057,1446.9015581771039,,,,,,,,,
2058,1526.5689085458237,,,,,,,,,
2059,1609.835388211626,,,,,,,,,
2060,1696.8062129278032,,,,,,,,,
