Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,13.381,,,,,,,,,
2013,19.127,,,,,,,,,
2014,24.682,,,,,,,,,
2015,36.21,,,,,,,,,
2016,41.604,,,,,,,,,
2017,57.331,,,,,,,,,
2018,60.46274226877637,,,,,,,,,
2019,63.59448453755273,,,,,,,,,
2020,72.96062278735637,,,,,,,,,
2021,83.15241330984503,,,,,,,,,
2022,94.25916199637213,,,,,,,,,
2023,106.37017473829108,,,,,,,,,
2024,119.5747574269553,,,,,,,,,
2025,133.96221595371821,,,,,,,,,
2026,149.62185620993318,,,,,,,,,
2027,166.64298408695373,,,,,,,,,
2028,185.11490547613312,,,,,,,,,
2029,205.1269262688249,,,,,,,,,
2030,226.9084588644264,,,,,,,,,
2031,250.1284896301591,,,,,,,,,
2032,275.29664398150834,,,,,,,,,
2033,302.36212130178353,,,,,,,,,
2034,331.4142274823382,,,,,,,,,
2035,362.54226841452567,,,,,,,,,
2036,395.83554998969936,,,,,,,,,
2037,431.3833780992127,,,,,,,,,
2038,469.2750586344191,,,,,,,,,
2039,509.599897486672,,,,,,,,,
2040,552.4472005473248,,,,,,,,,
2041,597.9062737077309,,,,,,,,,
2042,646.0664228592436,,,,,,,,,
2043,697.0169538932164,,,,,,,,,
2044,750.8471727010028,,,,,,,,,
2045,807.6463851739563,,,,,,,,,
2046,867.50389720343,,,,,,,,,
2047,930.5090146807776,,,,,,,,,
2048,996.7510434973524,,,,,,,,,
2049,1066.3192895445077,,,,,,,,,
2050,1139.292334026165,,,,,,,,,
2051,1215.7916568959738,,,,,,,,,
2052,1295.8743899829915,,,,,,,,,
2053,1379.6405638660033,,,,,,,,,
2054,1467.179484436363,,,,,,,,,
2055,1558.5804575854236,,,,,,,,,
2056,1653.9327892045387,,,,,,,,,
2057,1753.3257851850622,,,,,,,,,
2058,1856.8487514183464,,,,,,,,,
2059,1964.5909937957456,,,,,,,,,
2060,2076.641818208613,,,,,,,,,
