Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,13.381,,,,,,,,,
2013,19.127,,,,,,,,,
2014,24.682,,,,,,,,,
2015,36.21,,,,,,,,,
2016,41.604,,,,,,,,,
2017,57.331,,,,,,,,,
2018,60.756423560987805,,,,,,,,,
2019,64.18184712197561,,,,,,,,,
2020,77.75506625304718,,,,,,,,,
2021,95.31292766474564,,,,,,,,,
2022,117.67307051423535,,,,,,,,,
2023,145.65313395868063,,,,,,,,,
2024,180.07075715524584,,,,,,,,,
2025,221.78047089869935,,,,,,,,,
2026,250.25025751872695,,,,,,,,,
2027,294.1405882045669,,,,,,,,,
2028,343.4516925622418,,,,,,,,,
2029,398.51903430868975,,,,,,,,,
2030,457.3076656437811,,,,,,,,,
2031,496.6599718610924,,,,,,,,,
2032,555.6790698529746,,,,,,,,,
2033,618.4600929739863,,,,,,,,,
2034,685.0516203094151,,,,,,,,,
2035,748.1293477890134,,,,,,,,,
2036,798.0752584028996,,,,,,,,,
2037,864.0346089374514,,,,,,,,,
2038,931.856558767854,,,,,,,,,
2039,1001.4407889420754,,,,,,,,,
2040,1059.7755534910161,,,,,,,,,
2041,1127.2514415487167,,,,,,,,,
2042,1195.7545731757282,,,,,,,,,
2043,1264.789351180471,,,,,,,,,
2044,1334.2071284298343,,,,,,,,,
2045,1392.9391652658276,,,,,,,,,
2046,1490.204317247046,,,,,,,,,
2047,1564.287995273773,,,,,,,,,
2048,1638.7012414654628,,,,,,,,,
2049,1713.3225387616485,,,,,,,,,
2050,1801.5070131232471,,,,,,,,,
2051,1921.9054289822566,,,,,,,,,
2052,2016.1528241146857,,,,,,,,,
2053,2112.6225886077264,,,,,,,,,
2054,2211.314722461378,,,,,,,,,
2055,2283.6143570850923,,,,,,,,,
2056,2393.142942079543,,,,,,,,,
2057,2490.557317603139,,,,,,,,,
2058,2589.2457303794777,,,,,,,,,
2059,2689.165868703488,,,,,,,,,
2060,2829.12017484845,,,,,,,,,
