Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,511.137,,,,,,,,,
2013,616.046,,,,,,,,,
2014,687.046,,,,,,,,,
2015,791.372,,,,,,,,,
2016,913.054,,,,,,,,,
2017,1077.12,,,,,,,,,
2018,1124.7702998970549,,,,,,,,,
2019,1172.4205997941096,,,,,,,,,
2020,1301.7145980022344,,,,,,,,,
2021,1445.2670781711658,,,,,,,,,
2022,1604.6504590569505,,,,,,,,,
2023,1736.8478406001498,,,,,,,,,
2024,1849.9862780219735,,,,,,,,,
2025,1962.046007104186,,,,,,,,,
2026,2095.922581194127,,,,,,,,,
2027,2213.979311205215,,,,,,,,,
2028,2332.0360412163022,,,,,,,,,
2029,2450.0927712273897,,,,,,,,,
2030,2540.6136025060914,,,,,,,,,
2031,2639.0223213375066,,,,,,,,,
2032,2748.035460830932,,,,,,,,,
2033,2856.371507158926,,,,,,,,,
2034,2964.0304603214886,,,,,,,,,
2035,3016.0967851760815,,,,,,,,,
2036,3117.3341266434218,,,,,,,,,
2037,3211.5600679058807,,,,,,,,,
2038,3304.3172597314724,,,,,,,,,
2039,3395.6057021201987,,,,,,,,,
2040,3491.1881390899593,,,,,,,,,
2041,3573.776338587051,,,,,,,,,
2042,3660.6585326651784,,,,,,,,,
2043,3746.0719773064393,,,,,,,,,
2044,3830.016672510833,,,,,,,,,
2045,3912.492618278361,,,,,,,,,
2046,3993.499814609023,,,,,,,,,
2047,4073.0382615028184,,,,,,,,,
2048,4151.107958959747,,,,,,,,,
2049,4227.70890697981,,,,,,,,,
2050,4302.841105563007,,,,,,,,,
2051,4376.504554709336,,,,,,,,,
2052,4448.6992544188,,,,,,,,,
2053,4519.425204691397,,,,,,,,,
2054,4588.682405527128,,,,,,,,,
2055,4656.470856925993,,,,,,,,,
2056,4722.790558887991,,,,,,,,,
2057,4787.641511413123,,,,,,,,,
2058,4851.023714501389,,,,,,,,,
2059,4912.937168152787,,,,,,,,,
2060,4973.381872367321,,,,,,,,,
