Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,511.137,,,,,,,,,
2013,616.046,,,,,,,,,
2014,687.046,,,,,,,,,
2015,791.372,,,,,,,,,
2016,913.054,,,,,,,,,
2017,1077.12,,,,,,,,,
2018,1122.499319448344,,,,,,,,,
2019,1225.596399198571,,,,,,,,,
2020,1328.4333439065867,,,,,,,,,
2021,1430.9539929924815,,,,,,,,,
2022,1533.1021858763456,,,,,,,,,
2023,1634.82176197827,,,,,,,,,
2024,1736.0565607183441,,,,,,,,,
2025,1836.7504215166587,,,,,,,,,
2026,1936.8471837933043,,,,,,,,,
2027,2036.290686968371,,,,,,,,,
2028,2135.024770461949,,,,,,,,,
2029,2232.993273694129,,,,,,,,,
2030,2329.361642882005,,,,,,,,,
2031,2426.4088970546563,,,,,,,,,
2032,2521.7436960231835,,,,,,,,,
2033,2616.0882724106746,,,,,,,,,
2034,2709.386465637219,,,,,,,,,
2035,2801.582115122907,,,,,,,,,
2036,2892.619060287829,,,,,,,,,
2037,2982.441140552076,,,,,,,,,
2038,3070.992195335738,,,,,,,,,
2039,3158.216064058905,,,,,,,,,
2040,3243.483362521891,,,,,,,,,
2041,3328.457601004116,,,,,,,,,
2042,3411.362948066341,,,,,,,,,
2043,3492.7164667484317,,,,,,,,,
2044,3572.46199647048,,,,,,,,,
2045,3650.5433766525753,,,,,,,,,
2046,3726.9044467148083,,,,,,,,,
2047,3801.489046077269,,,,,,,,,
2048,3874.2410141600485,,,,,,,,,
2049,3945.104190383236,,,,,,,,,
2050,4014.2959436297847,,,,,,,,,
2051,4080.939524931199,,,,,,,,,
2052,4145.799362096155,,,,,,,,,
2053,4208.54576508188,,,,,,,,,
2054,4269.122573308467,,,,,,,,,
2055,4327.473626196002,,,,,,,,,
2056,4383.54276316458,,,,,,,,,
2057,4437.273823634288,,,,,,,,,
2058,4488.610647025218,,,,,,,,,
2059,4537.497072757461,,,,,,,,,
2060,4552.346567300355,,,,,,,,,
