VMA number,Title on xls,Fixed Mean,Fixed High,Fixed Low
1,Current Adoption,194.88438000000002,404.6750820426445,-14.906322042644405
2,CONVENTIONAL First Cost per Implementation Unit,2010.0317085196398,3373.5568673016687,646.5065497376106
3,SOLUTION First Cost per Implementation Unit,1569.2962918015817,1861.6479895965472,1276.9445940066162
4,CONVENTIONAL Lifetime Capacity,178021.6744009262,225212.4575469707,130830.89125488169
5,SOLUTION Lifetime Capacity,66700.7579,80957.46900024802,52444.04679975198
6,CONVENTIONAL Average Annual Use,4967.648441815689,6603.246811821508,3332.050071809869
7,SOLUTION Average Annual Use,2944.3707692307694,3641.879417056526,2246.8621214050127
8,CONVENTIONAL Variable Operating Cost (VOM) per Functional Unit,0.0047524321679508165,0.007992783095689826,0.0015120812402118068
9,SOLUTION Variable Operating Cost (VOM) per Functional Unit,0.025447215325222712,0.04041527781923913,0.010479152831206297
10,CONVENTIONAL Fixed Operating Cost (FOM),32.89064573433522,63.04748100463679,2.7338104640336525
11,SOLUTION Fixed Operating Cost (FOM),48.504511528049214,64.17465035251801,32.834372703580414
20,SOLUTION Indirect CO2 Emissions per Unit,22538.51851851852,44190.73484570513,886.3021913319099
23,2005-2014 Average CONVENTIONAL Fuel Price per functional unit,0.03446521920306304,0.04109236644397384,0.027838071962152235
24,Weighted Average CONVENTIONAL Plant Efficiency,0.4102147445137418,0.4736845414315057,0.3467449475959779
25,Coal Plant Efficiency,0.36697534187007497,0.4322357828600367,0.3017149008801132
26,Natural Gas Plant Efficiency,0.4733587008768759,0.565872832325824,0.3808445694279278
27,Oil Plant Efficiency,0.39,0.39,0.39
28,Learning Rate (%),0.096,0.15713163602486788,0.03486836397513213
29,Share of Onshore wind on total Wind Generation,0.8660330519192248,0.9347925790890034,0.7972735247494461
