Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,0.0,,,,,,,,,
2015,0.0,,,,,,,,,
2016,0.0,,,,,,,,,
2017,0.0,,,,,,,,,
2018,0.0,,,,,,,,,
2019,1.5068181818182893,,,,,,,,,
2020,3.0136363636365786,,,,,,,,,
2021,4.520454545454413,,,,,,,,,
2022,6.0272727272727025,,,,,,,,,
2023,7.534090909090992,,,,,,,,,
2024,9.040909090909281,,,,,,,,,
2025,10.547727272727116,,,,,,,,,
2026,12.054545454545405,,,,,,,,,
2027,13.561363636363694,,,,,,,,,
2028,15.068181818181984,,,,,,,,,
2029,16.574999999999818,,,,,,,,,
2030,18.081818181818107,,,,,,,,,
2031,19.588636363636397,,,,,,,,,
2032,21.095454545454686,,,,,,,,,
2033,22.602272727272975,,,,,,,,,
2034,24.10909090909081,,,,,,,,,
2035,25.6159090909091,,,,,,,,,
2036,27.12272727272739,,,,,,,,,
2037,28.629545454545678,,,,,,,,,
2038,30.136363636363512,,,,,,,,,
2039,31.6431818181818,,,,,,,,,
2040,33.15,,,,,,,,,
2041,33.15,,,,,,,,,
2042,33.15,,,,,,,,,
2043,33.15,,,,,,,,,
2044,33.15,,,,,,,,,
2045,33.15,,,,,,,,,
2046,33.15,,,,,,,,,
2047,33.15,,,,,,,,,
2048,33.15,,,,,,,,,
2049,33.15,,,,,,,,,
2050,33.15,,,,,,,,,
2051,33.15,,,,,,,,,
2052,33.15,,,,,,,,,
2053,33.15,,,,,,,,,
2054,33.15,,,,,,,,,
2055,33.15,,,,,,,,,
2056,33.15,,,,,,,,,
2057,33.15,,,,,,,,,
2058,33.15,,,,,,,,,
2059,33.15,,,,,,,,,
2060,33.15,,,,,,,,,
