Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,0.0,,,,,,,,,
2015,0.0,,,,,,,,,
2016,0.0,,,,,,,,,
2017,0.0,,,,,,,,,
2018,0.0,,,,,,,,,
2019,1.1450638766023076,,,,,,,,,
2020,2.290127753204615,,,,,,,,,
2021,3.4351916298073775,,,,,,,,,
2022,4.580255506409685,,,,,,,,,
2023,5.725319383012447,,,,,,,,,
2024,6.870383259614755,,,,,,,,,
2025,8.015447136217517,,,,,,,,,
2026,9.160511012819825,,,,,,,,,
2027,10.305574889422587,,,,,,,,,
2028,11.450638766024895,,,,,,,,,
2029,12.595702642627657,,,,,,,,,
2030,13.740766519229965,,,,,,,,,
2031,14.885830395832727,,,,,,,,,
2032,16.030894272435035,,,,,,,,,
2033,17.175958149037797,,,,,,,,,
2034,18.321022025640104,,,,,,,,,
2035,19.466085902242867,,,,,,,,,
2036,20.611149778845174,,,,,,,,,
2037,21.756213655447937,,,,,,,,,
2038,22.901277532050244,,,,,,,,,
2039,24.046341408653007,,,,,,,,,
2040,25.191405285255314,,,,,,,,,
2041,25.191405285255613,,,,,,,,,
2042,25.191405285255613,,,,,,,,,
2043,25.191405285255613,,,,,,,,,
2044,25.191405285255613,,,,,,,,,
2045,25.191405285255613,,,,,,,,,
2046,25.191405285255613,,,,,,,,,
2047,25.191405285255613,,,,,,,,,
2048,25.191405285255613,,,,,,,,,
2049,25.191405285255613,,,,,,,,,
2050,25.191405285255613,,,,,,,,,
2051,25.191405285255613,,,,,,,,,
2052,25.191405285255613,,,,,,,,,
2053,25.191405285255613,,,,,,,,,
2054,25.191405285255613,,,,,,,,,
2055,25.191405285255613,,,,,,,,,
2056,25.191405285255613,,,,,,,,,
2057,25.191405285255613,,,,,,,,,
2058,25.191405285255613,,,,,,,,,
2059,25.191405285255613,,,,,,,,,
2060,25.191405285255613,,,,,,,,,
