Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,3.277129999999488,,,,,,,,,
2015,7.284138323981097,,,,,,,,,
2016,11.291146647962705,,,,,,,,,
2017,15.298154971944314,,,,,,,,,
2018,19.305163295926832,,,,,,,,,
2019,23.31217161990844,,,,,,,,,
2020,27.31917994389005,,,,,,,,,
2021,31.326188267871657,,,,,,,,,
2022,35.333196591853266,,,,,,,,,
2023,39.340204915834875,,,,,,,,,
2024,43.34721323981648,,,,,,,,,
2025,47.354221563799,,,,,,,,,
2026,51.36122988778061,,,,,,,,,
2027,55.36823821176222,,,,,,,,,
2028,59.37524653574383,,,,,,,,,
2029,63.382254859725435,,,,,,,,,
2030,67.38926318370704,,,,,,,,,
2031,71.39627150768956,,,,,,,,,
2032,75.40327983167117,,,,,,,,,
2033,79.41028815565278,,,,,,,,,
2034,83.41729647963439,,,,,,,,,
2035,87.424304803616,,,,,,,,,
2036,91.4313131275976,,,,,,,,,
2037,95.43832145157921,,,,,,,,,
2038,99.44532977556173,,,,,,,,,
2039,103.45233809954334,,,,,,,,,
2040,107.45934642352495,,,,,,,,,
2041,111.46635474750656,,,,,,,,,
2042,115.47336307148817,,,,,,,,,
2043,119.48037139546977,,,,,,,,,
2044,123.48737971945138,,,,,,,,,
2045,127.49438804343299,,,,,,,,,
2046,131.5013963674155,,,,,,,,,
2047,135.5084046913962,,,,,,,,,
2048,139.51541301537873,,,,,,,,,
2049,143.52242133936124,,,,,,,,,
2050,147.52942966334194,,,,,,,,,
2051,151.53643798732446,,,,,,,,,
2052,155.54344631130516,,,,,,,,,
2053,159.55045463528768,,,,,,,,,
2054,163.55746295926838,,,,,,,,,
2055,167.5644712832509,,,,,,,,,
2056,171.5714796072334,,,,,,,,,
2057,175.5784879312141,,,,,,,,,
2058,179.58549625519663,,,,,,,,,
2059,183.59250457917733,,,,,,,,,
2060,187.59951290315985,,,,,,,,,
