Year,Project Drawdown Updated AEZ Model - Jan 2020
2012,264.89533875
2013,264.89533875
2014,264.89533875
2015,264.89533875
2016,264.89533875
2017,264.89533875
2018,264.89533875
2019,264.89533875
2020,264.89533875
2021,264.89533875
2022,264.89533875
2023,264.89533875
2024,264.89533875
2025,264.89533875
2026,264.89533875
2027,264.89533875
2028,264.89533875
2029,264.89533875
2030,264.89533875
2031,264.89533875
2032,264.89533875
2033,264.89533875
2034,264.89533875
2035,264.89533875
2036,264.89533875
2037,264.89533875
2038,264.89533875
2039,264.89533875
2040,264.89533875
2041,264.89533875
2042,264.89533875
2043,264.89533875
2044,264.89533875
2045,264.89533875
2046,264.89533875
2047,264.89533875
2048,264.89533875
2049,264.89533875
2050,264.89533875
2051,264.89533875
2052,264.89533875
2053,264.89533875
2054,264.89533875
2055,264.89533875
2056,264.89533875
2057,264.89533875
2058,264.89533875
2059,264.89533875
2060,264.89533875
