Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,1111.4099288138739,,,,,,,,,
2013,1175.7455783545422,,,,,,,,,
2014,1240.0812278952103,,,,,,,,,
2015,1304.4168774358789,,,,,,,,,
2016,1368.7525269765472,,,,,,,,,
2017,1433.0881765172153,,,,,,,,,
2018,1497.4238260578836,,,,,,,,,
2019,1561.759475598552,,,,,,,,,
2020,1626.0951251392203,,,,,,,,,
2021,1690.4307746798886,,,,,,,,,
2022,1754.766424220557,,,,,,,,,
2023,1819.1020737612253,,,,,,,,,
2024,1883.4377233018934,,,,,,,,,
2025,1947.7733728425617,,,,,,,,,
2026,2012.10902238323,,,,,,,,,
2027,2076.444671923898,,,,,,,,,
2028,2140.7803214645664,,,,,,,,,
2029,2205.1159710052348,,,,,,,,,
2030,2269.451620545903,,,,,,,,,
2031,2333.7872700865714,,,,,,,,,
2032,2398.1229196272398,,,,,,,,,
2033,2462.4585691679076,,,,,,,,,
2034,2526.7942187085764,,,,,,,,,
2035,2591.1298682492443,,,,,,,,,
2036,2655.465517789913,,,,,,,,,
2037,2719.801167330581,,,,,,,,,
2038,2784.1368168712497,,,,,,,,,
2039,2848.4724664119176,,,,,,,,,
2040,2912.808115952586,,,,,,,,,
2041,2977.1437654932543,,,,,,,,,
2042,3041.4794150339226,,,,,,,,,
2043,3105.815064574591,,,,,,,,,
2044,3170.150714115259,,,,,,,,,
2045,3234.4863636559276,,,,,,,,,
2046,3298.8220131965954,,,,,,,,,
2047,3363.157662737264,,,,,,,,,
2048,3427.493312277932,,,,,,,,,
2049,3491.828961818601,,,,,,,,,
2050,3556.1646113592687,,,,,,,,,
2051,3620.5002608999375,,,,,,,,,
2052,3684.8359104406054,,,,,,,,,
2053,3749.1715599812733,,,,,,,,,
2054,3813.507209521942,,,,,,,,,
2055,3877.84285906261,,,,,,,,,
2056,3942.1785086032787,,,,,,,,,
2057,4006.5141581439466,,,,,,,,,
2058,4070.8498076846154,,,,,,,,,
2059,4135.185457225283,,,,,,,,,
2060,4199.521106765952,,,,,,,,,
