"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"USGS MCS - Lead, 2021",https://pubs.usgs.gov/periodicals/mcs2021/mcs2021-lead.pdf,OECD90,,2 - Public Sector/ Multilateral Agency,2020,,81.5,cents/lb,1796767745.0000002,US2014$/MMt Metal Production,0.0011333333333333332,Lead,
"USGS MCS - Lead, 2021",https://pubs.usgs.gov/periodicals/mcs2021/mcs2021-lead.pdf,OECD90,,2 - Public Sector/ Multilateral Agency,2020,,89.8,cents/lb,1979751454.0000002,US2014$/MMt Metal Production,0.0011333333333333332,Lead,
USGS MCS - Nickel 2021,https://pubs.usgs.gov/periodicals/mcs2021/mcs2021-nickel.pdf,World,,2 - Public Sector/ Multilateral Agency,2020,,14000.0,$/ton,14000000000.0,US2014$/MMt Metal Production,0.0003,Nickel,
USGS MYB - Bauxite & Alumina,https://prd-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb1-2017-bauxi.pdf,,China,2 - Public Sector/ Multilateral Agency,2017,,485.0,$/metric ton,485000000.0,US2014$/MMt Metal Production,0.00618,Aluminum,
USGS MYB - Bauxite & Alumina,https://prd-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb1-2017-bauxi.pdf,,US,2 - Public Sector/ Multilateral Agency,2017,,508.0,$/metric ton,508000000.0,US2014$/MMt Metal Production,0.00618,Aluminum,
"USGS MCS -Bauxite & Alumina, 2021",https://pubs.usgs.gov/periodicals/mcs2021/mcs2021-bauxite-alumina.pdf,,,2 - Public Sector/ Multilateral Agency,2021,,370.0,$/ton,370000000.0,US2014$/MMt Metal Production,0.00618,Aluminum,
"USGS MCS - Iron Ore, 2021",https://pubs.usgs.gov/periodicals/mcs2021/mcs2021-iron-ore.pdf,OECD90,,2 - Public Sector/ Multilateral Agency,2020,,97.96,$/ton,97960000.0,US2014$/MMt Metal Production,0.31506666666666666,Iron,
"USGS MCS - Iron Ore, 2021",https://pubs.usgs.gov/periodicals/mcs2021/mcs2021-iron-ore.pdf,OECD90,,2 - Public Sector/ Multilateral Agency,2019,,93.85,$/ton,93850000.0,US2014$/MMt Metal Production,0.31506666666666666,Iron,
"USGS MCS - Iron Ore, 2021",https://pubs.usgs.gov/periodicals/mcs2021/mcs2021-iron-ore.pdf,OECD90,,2 - Public Sector/ Multilateral Agency,2018,,69.75,$/ton,69750000.0,US2014$/MMt Metal Production,0.31506666666666666,Iron,
"USGS MCS -Bauxite & Alumina, 2021",https://pubs.usgs.gov/periodicals/mcs2021/mcs2021-bauxite-alumina.pdf,,,2 - Public Sector/ Multilateral Agency,2021,,79.0,$/ton,79000000.0,US2014$/MMt Metal Production,0.00618,Aluminum,
"USGS MCS - Manganese, 2021",https://pubs.usgs.gov/periodicals/mcs2021/mcs2021-manganese.pdf ,,,2 - Public Sector/ Multilateral Agency,2020,,12.645454545454543,$/ton,12645454.545454543,US2014$/MMt Metal Production,0.0052,Manganese,
"USGS MCS - Copper, 2021",https://pubs.usgs.gov/periodicals/mcs2021/mcs2021-copper.pdf,World,,2 - Public Sector/ Multilateral Agency,2020,,280.0,cents/lb,6172944400.0,US2014$/MMt Metal Production,0.001925,Copper,
"USGS MCS - Copper, 2021",https://pubs.usgs.gov/periodicals/mcs2021/mcs2021-copper.pdf,World,,2 - Public Sector/ Multilateral Agency,2020,,270.0,cents/lb,5952482100.000001,US2014$/MMt Metal Production,0.001925,Copper,
"USGS MCS - Copper, 2021",https://pubs.usgs.gov/periodicals/mcs2021/mcs2021-copper.pdf,World,,2 - Public Sector/ Multilateral Agency,2020,,270.0,cents/lb,5952482100.000001,US2014$/MMt Metal Production,0.001925,Copper,
"Fastmarkets AMM, 2021 (Nickel ) ",https://www.amm.com/assets/monthly.pdf,OECD90,,3 - For Profit,2021,,821.0,cents/lb,18099954830.000004,US2014$/MMt Metal Production,0.0003,Nickel,
"Fastmarkets AMM, 2021 (Al ) ",https://www.amm.com/assets/monthly.pdf,OECD90,,3 - For Profit,2021,,136.0,cents/lb,2998287280.0000005,US2014$/MMt Metal Production,0.00618,Aluminum,
"Fastmarkets AMM, 2021 (Cu ) ",https://www.amm.com/assets/monthly.pdf,OECD90,,3 - For Profit,2021,,471.0,cents/lb,10383774330.000002,US2014$/MMt Metal Production,0.001925,Copper,
"Fastmarkets AMM, 2021 (Zn) ",https://www.amm.com/assets/monthly.pdf,OECD90,,3 - For Profit,2021,,143.0,cents/lb,3152610890.0,US2014$/MMt Metal Production,0.0046,Zinc,
"Fastmarkets AMM, 2021 (Pb ) ",https://www.amm.com/assets/monthly.pdf,OECD90,,3 - For Profit,2021,,113.0,cents/lb,2491223990.0,US2014$/MMt Metal Production,0.0011333333333333332,Lead,
