Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,207.0,,,,,,,,,
2015,228.32581377817112,,,,,,,,,
2016,237.48580584773688,,,,,,,,,
2017,247.03249133176118,,,,,,,,,
2018,256.98799356937144,,,,,,,,,
2019,267.3750533977832,,,,,,,,,
2020,277.1652808276698,,,,,,,,,
2021,287.31519668511754,,,,,,,,,
2022,297.8409442646295,,,,,,,,,
2023,308.75896919093617,,,,,,,,,
2024,320.086159829709,,,,,,,,,
2025,331.8396982152253,,,,,,,,,
2026,344.639375818369,,,,,,,,,
2027,357.5573156255959,,,,,,,,,
2028,373.440308515223,,,,,,,,,
2029,384.9662867359421,,,,,,,,,
2030,400.4319507807326,,,,,,,,,
2031,413.0051869022947,,,,,,,,,
2032,427.81118494467796,,,,,,,,,
2033,443.16452618901445,,,,,,,,,
2034,459.082832315263,,,,,,,,,
2035,475.5839968581885,,,,,,,,,
2036,492.68613604242154,,,,,,,,,
2037,510.40766559354705,,,,,,,,,
2038,528.7602693231187,,,,,,,,,
2039,547.7844294090964,,,,,,,,,
2040,567.4782284568419,,,,,,,,,
2041,587.8685116188797,,,,,,,,,
2042,608.9752706710063,,,,,,,,,
2043,629.2628328469368,,,,,,,,,
2044,653.4195780919077,,,,,,,,,
2045,676.7986409636228,,,,,,,,,
2046,685.3453982327146,,,,,,,,,
2047,693.8921555018064,,,,,,,,,
2048,702.4389127708982,,,,,,,,,
2049,710.98567003999,,,,,,,,,
2050,719.5324273090819,,,,,,,,,
2051,728.0791845781737,,,,,,,,,
2052,736.6259418472655,,,,,,,,,
2053,745.1726991163573,,,,,,,,,
2054,753.7194563854491,,,,,,,,,
2055,762.2662136545409,,,,,,,,,
2056,770.8129709236327,,,,,,,,,
2057,779.3597281927246,,,,,,,,,
2058,787.9064854618164,,,,,,,,,
2059,796.4532427309082,,,,,,,,,
2060,805.0,,,,,,,,,
