Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,166.0018958022499,,,,,,,,,
2013,172.39182334861664,,,,,,,,,
2014,179.6967640592628,,,,,,,,,
2015,184.9626539607889,,,,,,,,,
2016,191.84655723670355,,,,,,,,,
2017,199.0546318939858,,,,,,,,,
2018,206.59412126098647,,,,,,,,,
2019,241.3641659842529,,,,,,,,,
2020,248.05106073732375,,,,,,,,,
2021,250.88610300316773,,,,,,,,,
2022,253.50617586884357,,,,,,,,,
2023,255.91094159900004,,,,,,,,,
2024,258.7457660562839,,,,,,,,,
2025,261.4384986000398,,,,,,,,,
2026,263.9904098144046,,,,,,,,,
2027,266.4031978230793,,,,,,,,,
2028,268.67874822996316,,,,,,,,,
2029,270.81866294601593,,,,,,,,,
2030,272.8247645860049,,,,,,,,,
2031,274.98055354000286,,,,,,,,,
2032,277.022257264839,,,,,,,,,
2033,278.94972497435623,,,,,,,,,
2034,280.76582686970005,,,,,,,,,
2035,282.4672063818177,,,,,,,,,
2036,284.0568362504825,,,,,,,,,
2037,285.5324991764446,,,,,,,,,
2038,286.8954444893203,,,,,,,,,
2039,288.1431758179557,,,,,,,,,
2040,289.2769890592105,,,,,,,,,
2041,290.5134138177838,,,,,,,,,
2042,291.54783855883215,,,,,,,,,
2043,292.48789251869147,,,,,,,,,
2044,293.3321839681776,,,,,,,,,
2045,294.079240676237,,,,,,,,,
2046,294.727589411404,,,,,,,,,
2047,295.27571358456544,,,,,,,,,
2048,295.72196647435993,,,,,,,,,
2049,296.0646346773903,,,,,,,,,
2050,295.9283377761922,,,,,,,,,
2051,296.43219782191903,,,,,,,,,
2052,296.4535500835106,,,,,,,,,
2053,296.36387791205226,,,,,,,,,
2054,296.1609349353637,,,,,,,,,
2055,295.8425984385134,,,,,,,,,
2056,295.4069794490391,,,,,,,,,
2057,294.8523866431095,,,,,,,,,
2058,294.17715189812054,,,,,,,,,
2059,293.37970191707893,,,,,,,,,
2060,292.45846388071186,,,,,,,,,
