Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2014.0,1833.31862668,843.94305353,73.26975461,892.31394165,0.0,9.68811408,,,,
2015.0,1850.32494054,880.56148237,83.09617737,879.53015046,0.10180475,7.03532558,,,,
2016.0,1876.73130043,913.72769177,92.6228841,863.09627467,0.2036095,7.0808404,,,,
2017.0,1903.13766031,946.89390116,102.14959082,846.66239888,0.30541425,7.12635521,,,,
2018.0,1929.5440202,980.06011055,111.67629754,830.22852308,0.407219,7.17187002,,,,
2019.0,1982.35673997,1046.39252934,130.72971099,797.3607715,0.6108285,7.26289965,,,,
2020.0,2008.76309985,1079.55873873,140.25641771,780.9268957,0.71263325,7.30841446,,,,
2021.0,2035.16945974,1112.72494812,149.78312443,764.49301991,0.814438,7.35392928,,,,
2022.0,2061.57581962,1145.89115751,159.30983115,748.05914412,0.91624275,7.39944409,,,,
2023.0,2087.98217951,1179.05736691,168.83653788,731.62526832,1.0180475,7.4449589,,,,
2024.0,2114.38853939,1212.2235763,178.3632446,715.19139253,1.11985225,7.49047372,,,,
2025.0,2140.79489928,1245.38978569,187.88995132,698.75751674,1.221657,7.53598853,,,,
2026.0,2167.20125916,1278.55599508,197.41665804,682.32364095,1.32346175,7.58150335,,,,
2027.0,2193.60761905,1311.72220448,206.94336477,665.88976515,1.42526649,7.62701816,,,,
2028.0,2220.01397893,1344.88841387,216.47007149,649.45588936,1.52707124,7.67253297,,,,
2029.0,2246.42033882,1378.05462326,225.99677821,633.02201357,1.62887599,7.71804779,,,,
2030.0,2272.58598198,1411.22083265,235.52348494,616.58813777,1.73068074,7.52284588,,,,
2031.0,2298.74945123,1444.38704205,245.05019166,600.15426198,1.83248549,7.32547005,,,,
2032.0,2331.98669152,1495.76689207,259.73619874,567.52367591,1.89212883,7.06779598,,,,
2033.0,2358.2072546,1528.9717348,269.27902333,551.08980011,1.99393358,6.87276277,,,,
2034.0,2384.42154974,1562.17279973,278.82025748,534.65592432,2.09573833,6.67682988,,,,
2035.0,2410.63076193,1595.37061463,288.36012508,518.22204853,2.19754308,6.48043061,,,,
2036.0,2436.83570309,1628.56561345,297.89880995,501.78817273,2.29934783,6.28375913,,,,
2037.0,2463.03698528,1661.7581562,307.43646442,485.35429694,2.40115258,6.08691514,,,,
2038.0,2489.23509338,1694.9485441,316.97321578,468.92042115,2.50295733,5.88995502,,,,
2039.0,2515.43042272,1728.13703109,326.50917119,452.48654536,2.60476208,5.69291301,,,,
2040.0,2541.62330177,1761.32383271,336.04442154,436.05266956,2.70656683,5.49581113,,,,
2041.0,2567.81400703,1794.50913314,345.57904441,419.61879377,2.80837158,5.29866413,,,,
2042.0,2594.00277369,1827.69309068,355.11310639,403.18491798,2.91017633,5.10148232,,,,
2043.0,2620.18980346,1860.87584214,364.646665,386.75104218,3.01198108,4.90427306,,,,
2044.0,2646.37527053,1894.05750635,374.17977016,370.31716639,3.11378583,4.7070418,,,,
2045.0,2672.55932624,1927.23818706,383.71246539,353.8832906,3.21559058,4.50979262,,,,
2046.0,2698.74210283,1960.41797521,393.24478883,337.4494148,3.31739533,4.31252866,,,,
2047.0,2724.92371637,1993.59695087,402.77677405,321.01553901,3.41920008,4.11525236,,,,
2048.0,2751.10426919,2026.77518483,412.30845066,304.58166322,3.52100483,3.91796566,,,,
2049.0,2777.28385193,2059.95273987,421.83984496,288.14778743,3.62280957,3.7206701,,,,
2050.0,2803.46254511,2093.1296719,431.37098031,271.71391163,3.72461432,3.52336695,,,,
2051.0,2829.64042056,2126.30603084,440.90187759,255.28003584,3.82641907,3.32605722,,,,
2052.0,2855.81754255,2159.48186143,450.43255547,238.84616005,3.92822382,3.12874178,,,,
2053.0,2881.99396876,2192.65720386,459.96303073,222.41228425,4.03002857,2.93142134,,,,
2054.0,2908.16975114,2225.83209437,469.49331849,205.97840846,4.13183332,2.73409649,,,,
2055.0,2934.34493655,2259.00656568,479.0234324,189.54453267,4.23363807,2.53676773,,,,
2056.0,2960.51956743,2292.18064742,488.55338481,173.11065687,4.33544282,2.33943551,,,,
2057.0,2986.69368227,2325.35436651,498.08318693,156.67678108,4.43724757,2.14210018,,,,
2058.0,3167.06046724,2474.32718001,529.70548367,156.43961557,4.58121373,2.00697426,,,,
2059.0,3196.821786,2510.48122239,539.84183952,140.00573978,4.68301848,1.80996584,,,,
2060.0,3196.821786,2510.48122239,539.84183952,140.00573978,4.68301848,1.80996584,,,,
