Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2014.0,1833.31862668,843.94305353,73.26975461,892.31394165,0.0,9.68811408,,,,
2015.0,1891.58299335,911.79997708,89.47020195,879.53015046,0.10180475,10.68085912,,,,
2016.0,1955.35898187,976.20468117,105.37093325,863.09627467,0.2036095,10.48348329,,,,
2017.0,2019.13497039,1040.60938526,121.27166454,846.66239888,0.30541425,10.28610746,,,,
2018.0,2082.91095891,1105.01408936,137.17239584,830.22852308,0.407219,10.08873163,,,,
2019.0,2210.46293595,1233.82349755,168.97385843,797.3607715,0.6108285,9.69397998,,,,
2020.0,2274.23892447,1298.22820164,184.87458973,780.9268957,0.71263325,9.49660415,,,,
2021.0,2338.01491299,1362.63290573,200.77532103,764.49301991,0.814438,9.29922832,,,,
2022.0,2401.79090151,1427.03760983,216.67605233,748.05914412,0.91624275,9.1018525,,,,
2023.0,2465.56689003,1491.44231392,232.57678362,731.62526832,1.0180475,8.90447667,,,,
2024.0,2529.34287856,1555.84701802,248.47751492,715.19139253,1.11985225,8.70710084,,,,
2025.0,2593.11886708,1620.25172211,264.37824622,698.75751674,1.221657,8.50972501,,,,
2026.0,2656.8948556,1684.6564262,280.27897752,682.32364095,1.32346175,8.31234919,,,,
2027.0,2720.67084412,1749.0611303,296.17970881,665.88976515,1.42526649,8.11497336,,,,
2028.0,2784.44683264,1813.46583439,312.08044011,649.45588936,1.52707124,7.91759753,,,,
2029.0,2848.22282116,1877.87053849,327.98117141,633.02201357,1.62887599,7.7202217,,,,
2030.0,2912.2395264,1942.27524258,343.88190271,616.58813777,1.73068074,7.7635626,,,,
2031.0,2976.25840556,2006.67994667,359.782634,600.15426198,1.83248549,7.80907741,,,,
2032.0,3047.8838908,2071.56463198,375.91515245,590.5263103,2.0346258,7.84317027,,,,
2033.0,3111.84567613,2135.93070274,391.79976588,574.09243451,2.13643055,7.88634246,,,,
2034.0,3175.8137294,2200.3005513,407.68596975,557.65855871,2.2382353,7.93041434,,,,
2035.0,3239.78686561,2264.67364988,423.57354017,541.22468292,2.34004005,7.9749526,,,,
2036.0,3303.76427286,2329.04956455,439.46229332,524.79080713,2.4418448,8.01976306,,,,
2037.0,3367.74533907,2393.42793528,455.35207687,508.35693134,2.54364955,8.06474604,,,,
2038.0,3431.72957938,2457.80846087,471.24276353,491.92305554,2.64545429,8.10984515,,,,
2039.0,3495.71659844,2522.19088737,487.13424614,475.48917975,2.74725904,8.15502614,,,,
2040.0,3559.7060678,2586.57499924,503.02643381,459.05530396,2.84906379,8.20026701,,,,
2041.0,3623.69771095,2650.96061229,518.91924896,442.62142816,2.95086854,8.24555299,,,,
2042.0,3687.69129269,2715.34756823,534.812625,426.18755237,3.05267329,8.29087379,,,,
2043.0,3751.68661133,2779.73573026,550.70650441,409.75367658,3.15447804,8.33622203,,,,
2044.0,3815.68349267,2844.12497953,566.60083727,393.31980078,3.25628279,8.38159228,,,,
2045.0,3879.68178536,2908.51521231,582.49558006,376.88592499,3.35808754,8.42698045,,,,
2046.0,3943.68135717,2972.90633765,598.39069464,360.4520492,3.45989229,8.47238339,,,,
2047.0,4007.68209204,3037.29827548,614.28614744,344.0181734,3.56169704,8.51779868,,,,
2048.0,4071.68388762,3101.69095501,630.18190884,327.58429761,3.66350179,8.56322437,,,,
2049.0,4135.68665329,3166.08431345,646.07795257,311.15042182,3.76530654,8.60865891,,,,
2050.0,4199.69030852,3230.47829491,661.97425524,294.71654603,3.86711129,8.65410105,,,,
2051.0,4263.69478147,3294.87284946,677.87079598,278.28267023,3.96891604,8.69954976,,,,
2052.0,4327.70000789,3359.26793235,693.76755612,261.84879444,4.07072079,8.74500419,,,,
2053.0,4391.70593008,3423.6635034,709.66451888,245.41491865,4.17252554,8.79046362,,,,
2054.0,4455.71249611,3488.05952638,725.56166913,228.98104285,4.27433029,8.83592745,,,,
2055.0,4519.7196591,3552.45596856,741.45899324,212.54716706,4.37613504,8.8813952,,,,
2056.0,4583.72737663,3616.85280031,757.35647886,196.11329127,4.47793979,8.92686641,,,,
2057.0,4647.73561019,3681.24999471,773.25411476,179.67941547,4.57974454,8.97234072,,,,
2058.0,4833.61393614,3852.22875056,810.85790654,156.43961557,4.58121373,9.50644974,,,,
2059.0,4900.50180386,3919.00282784,827.24209401,140.00573978,4.68301848,9.56812376,,,,
2060.0,4900.50180386,3919.00282784,827.24209401,140.00573978,4.68301848,9.56812376,,,,
