Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,15911.51297280379,,,,,,,,,
2015,16153.992848542419,,,,,,,,,
2016,16457.188455286036,,,,,,,,,
2017,16770.001526714877,,,,,,,,,
2018,17091.104841552216,,,,,,,,,
2019,17418.397845942767,,,,,,,,,
2020,17750.246234162434,,,,,,,,,
2021,18086.07208029538,,,,,,,,,
2022,18426.155288974667,,,,,,,,,
2023,18770.695439533334,,,,,,,,,
2024,19120.207118500428,,,,,,,,,
2025,19475.025805631485,,,,,,,,,
2026,19835.210671218163,,,,,,,,,
2027,20200.378939777664,,,,,,,,,
2028,20569.93351967495,,,,,,,,,
2029,20943.065858033046,,,,,,,,,
2030,21319.217747665884,,,,,,,,,
2031,21630.119283389537,,,,,,,,,
2032,21942.248408352563,,,,,,,,,
2033,22256.153307500103,,,,,,,,,
2034,22572.6566697745,,,,,,,,,
2035,22892.463268301308,,,,,,,,,
2036,23215.844455503193,,,,,,,,,
2037,23542.943759452282,,,,,,,,,
2038,23874.222236889338,,,,,,,,,
2039,24210.18450623115,,,,,,,,,
2040,24551.280055057843,,,,,,,,,
2041,24897.833748189692,,,,,,,,,
2042,25250.099694361925,,,,,,,,,
2043,25608.3566505846,,,,,,,,,
2044,25972.849650291726,,,,,,,,,
2045,26343.786952354672,,,,,,,,,
2046,26721.37731904783,,,,,,,,,
2047,27105.764698206305,,,,,,,,,
2048,27496.98570884446,,,,,,,,,
2049,27895.010732479852,,,,,,,,,
2050,28299.814087007726,,,,,,,,,
2051,,,,,,,,,,
2052,,,,,,,,,,
2053,,,,,,,,,,
2054,,,,,,,,,,
2055,,,,,,,,,,
2056,,,,,,,,,,
2057,,,,,,,,,,
2058,,,,,,,,,,
2059,,,,,,,,,,
2060,,,,,,,,,,
