Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,29.609913664850783,,,,,,,,,
2015,66.2646694888989,,,,,,,,,
2016,79.87152765158505,,,,,,,,,
2017,96.15644082233533,,,,,,,,,
2018,115.59492600081184,,,,,,,,,
2019,138.72446401454,,,,,,,,,
2020,166.14272725906523,,,,,,,,,
2021,198.50066839624333,,,,,,,,,
2022,236.4884907753027,,,,,,,,,
2023,280.81236422853794,,,,,,,,,
2024,332.1599114010698,,,,,,,,,
2025,391.153179037693,,,,,,,,,
2026,458.28924029787936,,,,,,,,,
2027,533.8708831077115,,,,,,,,,
2028,617.9329486034029,,,,,,,,,
2029,710.1733543561875,,,,,,,,,
2030,809.9007812802429,,,,,,,,,
2031,916.0121729019318,,,,,,,,,
2032,1027.0113466473724,,,,,,,,,
2033,1141.074517338247,,,,,,,,,
2034,1256.1599777310132,,,,,,,,,
2035,1370.1496014794718,,,,,,,,,
2036,1481.0021791360282,,,,,,,,,
2037,1586.8955524729267,,,,,,,,,
2038,1686.3372294009246,,,,,,,,,
2039,1778.2306693089004,,,,,,,,,
2040,1861.8941036694482,,,,,,,,,
2041,1937.0375676485473,,,,,,,,,
2042,2003.709581975409,,,,,,,,,
2043,2062.2269277684527,,,,,,,,,
2044,2113.0997998164785,,,,,,,,,
2045,2156.9615905860373,,,,,,,,,
2046,2194.5089623421354,,,,,,,,,
2047,2226.45464922133,,,,,,,,,
2048,2253.4930576631477,,,,,,,,,
2049,2276.277279384398,,,,,,,,,
2050,2295.4054486274135,,,,,,,,,
2051,2311.414235422638,,,,,,,,,
2052,2324.777448648447,,,,,,,,,
2053,2335.9080562501235,,,,,,,,,
2054,2345.1623022886915,,,,,,,,,
2055,2352.844947511424,,,,,,,,,
2056,2359.2149525900213,,,,,,,,,
2057,2364.491153394174,,,,,,,,,
2058,2368.857649667034,,,,,,,,,
2059,2372.4687513633694,,,,,,,,,
2060,2375.4534110707177,,,,,,,,,
