Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,1320.9665326110853,,,,,,,,,
2013,1348.0934089404448,,,,,,,,,
2014,1386.1515154367073,,,,,,,,,
2015,1427.1762842083442,,,,,,,,,
2016,1474.8126891450293,,,,,,,,,
2017,1529.0243345467793,,,,,,,,,
2018,1589.777216254635,,,,,,,,,
2019,1657.0345119721615,,,,,,,,,
2020,1779.5966726089632,,,,,,,,,
2021,1810.8601156121845,,,,,,,,,
2022,1897.2639282985085,,,,,,,,,
2023,1989.8223873949785,,,,,,,,,
2024,2088.3331192796136,,,,,,,,,
2025,2192.5003610525273,,,,,,,,,
2026,2301.902004941764,,,,,,,,,
2027,2415.98558918937,,,,,,,,,
2028,2534.073821782264,,,,,,,,,
2029,2655.339607320612,,,,,,,,,
2030,2690.2105268802065,,,,,,,,,
2031,2903.2558249100334,,,,,,,,,
2032,3027.40194201005,,,,,,,,,
2033,3149.748558957653,,,,,,,,,
2034,3268.6912894962675,,,,,,,,,
2035,3382.5351167213876,,,,,,,,,
2036,3489.5407443400904,,,,,,,,,
2037,3587.978489438077,,,,,,,,,
2038,3676.1900928843893,,,,,,,,,
2039,3752.6540326361846,,,,,,,,,
2040,3877.6827410449096,,,,,,,,,
2041,3865.323743545406,,,,,,,,,
2042,3899.7162850681007,,,,,,,,,
2043,3918.792951119759,,,,,,,,,
2044,3922.457131873956,,,,,,,,,
2045,3910.9511606894407,,,,,,,,,
2046,3884.836615298713,,,,,,,,,
2047,3844.951334129125,,,,,,,,,
2048,3792.353335026996,,,,,,,,,
2049,3728.2696337788684,,,,,,,,,
2050,3642.2011817053403,,,,,,,,,
2051,3571.063353527292,,,,,,,,,
2052,3480.747484176991,,,,,,,,,
2053,3384.4600663117953,,,,,,,,,
2054,3283.5018509582123,,,,,,,,,
2055,3179.086805247667,,,,,,,,,
2056,3072.3247339318127,,,,,,,,,
2057,2964.2143350467113,,,,,,,,,
2058,2855.637579452826,,,,,,,,,
2059,2747.3591211373464,,,,,,,,,
2060,2640.0256379073553,,,,,,,,,
