Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,32498.921135844445,,,,,,,,,
2015,32865.79088300441,,,,,,,,,
2016,33230.867670825086,,,,,,,,,
2017,33593.83857414284,,,,,,,,,
2018,33954.0,,,,,,,,,
2019,39783.47516208796,,,,,,,,,
2020,45528.276102041746,,,,,,,,,
2021,51058.75758660012,,,,,,,,,
2022,56481.517062588544,,,,,,,,,
2023,61797.776173739505,,,,,,,,,
2024,67006.27754632058,,,,,,,,,
2025,72106.40042016067,,,,,,,,,
2026,77099.9147531849,,,,,,,,,
2027,81989.96762598907,,,,,,,,,
2028,86778.38034942331,,,,,,,,,
2029,91467.09306310091,,,,,,,,,
2030,96057.89582094744,,,,,,,,,
2031,100552.4300598962,,,,,,,,,
2032,104938.96215416424,,,,,,,,,
2033,109215.36616692782,,,,,,,,,
2034,113387.391495183,,,,,,,,,
2035,117459.90250671782,,,,,,,,,
2036,121436.52948969787,,,,,,,,,
2037,125319.4934146519,,,,,,,,,
2038,129110.3857779243,,,,,,,,,
2039,132810.07309996057,,,,,,,,,
2040,136419.67345272482,,,,,,,,,
2041,139941.22202449717,,,,,,,,,
2042,143377.09468170154,,,,,,,,,
2043,146728.98465701824,,,,,,,,,
2044,149998.51423660835,,,,,,,,,
2045,153187.2325951085,,,,,,,,,
2046,156296.79698318237,,,,,,,,,
2047,159328.72016261483,,,,,,,,,
2048,162284.1926686422,,,,,,,,,
2049,165164.2742868051,,,,,,,,,
2050,167970.1042480365,,,,,,,,,
2051,170703.16269807456,,,,,,,,,
2052,173364.98712403708,,,,,,,,,
2053,175956.85228212818,,,,,,,,,
2054,178479.99787471246,,,,,,,,,
2055,180935.78504447063,,,,,,,,,
2056,183325.58081068392,,,,,,,,,
2057,185651.04635706136,,,,,,,,,
2058,187914.22062128087,,,,,,,,,
2059,190117.35669894275,,,,,,,,,
2060,192262.54754628203,,,,,,,,,
