Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,32498.921135844445,,,,,,,,,
2015,32865.79088300441,,,,,,,,,
2016,33230.867670825086,,,,,,,,,
2017,33593.83857414284,,,,,,,,,
2018,33954.0,,,,,,,,,
2019,47849.168505033165,,,,,,,,,
2020,60811.72291630118,,,,,,,,,
2021,72783.79012768969,,,,,,,,,
2022,83936.63936301437,,,,,,,,,
2023,94332.1214506342,,,,,,,,,
2024,104024.71716099873,,,,,,,,,
2025,113065.02810821585,,,,,,,,,
2026,121501.90345069513,,,,,,,,,
2027,129381.7738342903,,,,,,,,,
2028,136746.2549764728,,,,,,,,,
2029,143633.86192826738,,,,,,,,,
2030,150079.9961871335,,,,,,,,,
2031,156117.18217754512,,,,,,,,,
2032,161762.05767337696,,,,,,,,,
2033,167039.29071737741,,,,,,,,,
2034,171979.54514586923,,,,,,,,,
2035,176610.48799535425,,,,,,,,,
2036,180956.61265567338,,,,,,,,,
2037,185039.2219695775,,,,,,,,,
2038,188877.35365952272,,,,,,,,,
2039,192487.81867779364,,,,,,,,,
2040,195886.30079510782,,,,,,,,,
2041,199088.13530146974,,,,,,,,,
2042,202107.83657514205,,,,,,,,,
2043,204958.17038144707,,,,,,,,,
2044,207650.85344802868,,,,,,,,,
2045,210196.63208507502,,,,,,,,,
2046,212605.5376254862,,,,,,,,,
2047,214886.7021045018,,,,,,,,,
2048,217048.24324099405,,,,,,,,,
2049,219097.5135515747,,,,,,,,,
2050,221041.36350952976,,,,,,,,,
2051,222886.4516802612,,,,,,,,,
2052,224639.00586156728,,,,,,,,,
2053,226304.5440905417,,,,,,,,,
2054,227888.14005766675,,,,,,,,,
2055,229394.61426472408,,,,,,,,,
2056,230828.45029892435,,,,,,,,,
2057,232194.11236019564,,,,,,,,,
2058,233496.15570108374,,,,,,,,,
2059,234739.08768446548,,,,,,,,,
2060,235927.01612048416,,,,,,,,,
