Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,159465.05101114663,51174.020752013836,9410.942914793635,72455.67280876858,18035.67350700643,8660.016028564121,45985.82938227954,13591.08756782738,19331.0000325008,20830.641364289982
2013,161672.29332033818,51561.244544468376,9470.419978544945,73479.52731265522,18592.886056015184,8825.62792865446,46435.93897183271,13922.015441645173,19427.092575933944,21016.725235409456
2014,179547.35465137477,45686.30601960506,9632.780925910401,68670.67308160654,17991.1561222029,7863.960018947994,44443.361076354515,12735.827882737167,28927.257920198692,20243.703079059844
2015,181574.20632219958,45968.809675182994,9687.177583647885,69534.70834745617,18502.528002634223,7989.986520807747,44817.49688258967,12984.889444651662,29022.291216884052,20395.049645565403
2016,183591.15239938884,46247.78280801311,9741.108038416687,70393.63066322933,19015.607880722866,8114.734288778269,45190.38962099028,13231.831943269352,29114.606263773298,20541.047649100048
2017,185596.4640598502,46522.15790525455,9794.527364837633,71246.83146791854,19530.516214749696,8238.245218531876,45561.58747568161,13476.555141320861,29203.45717522698,20681.86069300067
2018,187586.25415133717,46789.19184666772,9846.963268197445,72092.47629924936,20047.797820616277,8360.710631172522,45929.229644229745,13719.273783390794,29286.313402593427,20818.339650164366
2019,189555.07399541838,47045.14486782075,9897.92863981442,72927.78468294423,20568.278241920638,8482.385442403189,46290.60339878894,13960.131870455334,29360.10597408371,20951.66163225277
2020,191514.2089014873,47287.537082135306,9962.449879345657,73750.70871267864,21092.46855889013,8603.445300646155,46643.63332648981,14199.244474971843,29447.279051428835,21082.798912354872
2021,193308.13592228448,47453.32065589816,10000.282709064528,74513.11855491693,21619.92423294941,8715.14950722044,46933.06824280208,14436.757395005938,29457.980472642717,21186.261727178844
2022,195064.9982150253,47602.18600430081,10034.190476351685,75255.30608296367,22150.910352045266,8827.250349838063,47203.24244061993,14672.796115777363,29456.068615667933,21283.018348399957
2023,196785.2420772641,47735.67829040895,10064.709695492958,75978.69638762182,22684.41447161783,8938.977111510327,47455.4090778689,14907.396455864231,29443.0882252282,21373.638795794654
2024,198466.52978539234,47855.14108377668,10092.318984425461,76683.92614148786,23219.02353129197,9049.00074078667,47689.68940311699,15140.556041413924,29420.279050470574,21458.724805500766
2025,200107.37612491238,47961.782865937734,10117.417134553114,77371.55148097873,23753.637434224587,9156.324417937292,47906.27012466502,15372.264882814925,29388.673081588262,21538.835897597448
2026,201708.99297398145,48056.6124030641,10140.27034033388,78042.5889752521,24287.799324187552,9260.72137065035,48106.303981585654,15602.535350410553,29349.153854409575,21614.40699512313
2027,203274.02315765232,48140.578876450214,10161.080793850104,78697.94152538062,24821.544586191492,9362.497257026402,48291.03258720451,15831.358639602893,29302.38539999377,21685.858242593833
2028,204803.60336429812,48214.65530349023,10180.048681780041,79337.6487663618,25354.86274736498,9461.762776904749,48460.51911419137,16058.660542914122,29248.760333277707,21753.69877845196
2029,206298.95992468004,48279.77809009207,10197.337832686146,79961.440232497,25887.915677023124,9558.784345984166,48614.51487836307,16284.3310523146,29188.505000582638,21818.43435307579
2030,207761.12974014238,48336.73598178289,10213.086936177044,80569.13242236424,26420.806059873983,9653.764289984683,48752.908372799895,16508.24856269654,29121.844262416933,21880.48138583544
2031,209190.97426895736,48386.189280453305,10227.463628118721,81161.03851438889,26953.38835277008,9746.683281341462,48876.03326496105,16730.37958710157,29049.216428933578,21940.126676399756
2032,210589.94639747622,48428.858134001646,10240.695491276483,81737.90318643185,27485.48467451493,9837.512238666362,48984.90479462045,16950.619484264655,28971.380295016148,21997.50759530767
2033,211960.94834354872,48465.74336554477,10253.108087136592,82300.70542913103,28017.17890855088,9926.493373238314,49081.194408429765,17168.675467677156,28889.455472670008,22052.64270861941
2034,213307.4701619468,48497.924166512275,10265.074320168917,82850.65173297052,28548.61532307563,10013.942715442592,49167.01438773537,17384.175632617855,28804.7762954448,22105.45024894307
2035,214632.17901014563,48526.19478090984,10276.882416982457,83388.68152801513,29079.890264303205,10100.102655183935,49244.007705640746,17596.8261575858,28718.35547121305,22155.850751646714
2036,215936.56838928143,48551.12845200463,10288.725148475112,83915.31696701015,29610.985443339727,10185.093179241829,49312.98050635394,17806.505281071,28630.77939160829,22203.900376824342
2037,217220.7812444969,48572.77622447873,10300.636466875616,84430.62228245457,30141.825444312413,10268.905346004956,49373.97781153429,18013.200728561234,28542.10106953894,22249.621139536048
2038,218484.38819244856,48590.71443565617,10312.54253762104,84934.49419548552,30672.37777231258,10351.487429931918,49426.91197697689,18216.8727258533,28452.146291792,22292.831133826487
2039,219726.2904480854,48604.18061894961,10324.274610731667,85426.60244936158,31202.59587275461,10432.730286927983,49471.33445742312,18417.526332622434,28360.468987881417,22333.276900493693
2040,220945.69482377623,48612.590069518046,10335.70452464624,85906.70931806877,31732.425255142323,10512.548904141264,49506.870955023136,18615.187963186047,28266.730054188414,22370.749048691217
2041,222142.77780784466,48615.8744345647,10346.841724737576,86374.88100015494,32261.832752838764,10590.942783202792,49533.65815678044,18809.817535982485,28170.958845843987,22405.18170085284
2042,223318.10768100698,48614.149078391805,10357.75215813114,86831.3192073171,32790.75679204148,10667.960506167989,49551.8502338975,19001.446030484643,28073.30707380957,22436.539014167476
2043,224471.6197988428,48607.12881547724,10368.414011721841,87276.05628867893,33319.057822979215,10743.623769268532,49561.02866306803,19190.27598222274,27973.621798239918,22464.675311114574
2044,225603.22691203273,48594.50686406384,10378.805847808066,87709.11439067898,33846.57078190919,10817.966758014785,49560.606687989595,19376.587183541855,27871.714546605966,22489.433724039307
2045,226712.81567195873,48576.02459314117,10388.905691533488,88130.48371562977,34373.15807562291,10891.004464411504,49550.09246119598,19560.60623766895,27767.40781543029,22510.697620299725
2046,227800.4265254192,48551.521479637486,10398.701517758733,88540.21382273902,34898.71290873613,10962.748836714522,49529.34783156249,19742.421903702212,27660.607116265055,22528.408532362835
2047,228865.99989244016,48520.94766626036,10408.176949280449,88938.24289975515,35423.18992459479,11033.16696621039,49498.30154721319,19922.052620919585,27551.227044436222,22542.567467174144
2048,229909.19720589733,48484.285548495005,10417.291020319588,89324.298712701,35946.579360374664,11102.192596911334,49456.597750530724,20099.571481528128,27439.098333583453,22553.195169688308
2049,230929.5911992857,48441.577843246865,10425.991092996166,89698.01691156835,36468.90620886212,11169.727610790638,49403.839260291774,20275.03816068626,27324.030679389096,22560.34711576759
2050,231926.8749454239,48392.84312498026,10434.23371228168,90059.12447849444,36990.153396163114,11235.697099526216,49339.73476840897,20448.50271686216,27205.8603741794,22564.076731378154
2051,232901.12220128378,48338.1466822866,10441.998875624971,90407.53347180133,37510.27534111904,11300.07279707605,49264.071457583384,20620.02066626596,27084.542706088192,22564.42790403278
2052,233852.50274090804,48277.446690433026,10449.27504314026,90743.31159220362,38029.154540915675,11362.857247505131,49176.875890864,20789.62600077915,26960.02019739426,22561.434990033562
2053,234780.96121953518,48210.51346502482,10456.046671643531,91066.52635455574,38546.626257192074,11424.045347537705,49078.413959321566,20957.31246039631,26832.08278848447,22555.149292045473
2054,235686.44381634076,48137.06334031877,10462.295111077792,91377.306038664,39062.48595046794,11483.647091170284,48969.116555156186,21123.048943702048,26700.493255840054,22545.632510524138
2055,236569.05372270415,48056.951007543714,10468.007604746428,91675.768899826,39576.57103280155,11541.670879238409,48849.32604974085,21286.80558484,26565.10634682112,22532.965107846765
2056,237428.93460026602,47970.235586165414,10473.179696910296,91961.93201899168,40088.77782029391,11598.109235444977,48719.18219878093,21448.564420010964,26425.918816605423,22517.22070804544
2057,238266.55791742995,47877.21724148433,10477.807655680825,92235.83374092472,40599.06069262182,11652.955646272545,48578.67149822592,21608.31731129399,26283.061039592834,22498.521602625893
2058,239082.8056137393,47778.36031278601,10481.89951995903,92497.66353494489,41107.37281680526,11706.218633754159,48427.83101221824,21766.0454530151,26136.768005124937,22477.06558863418
2059,239878.80560410858,47674.2730171138,10485.462006659554,92747.66468811501,41613.69154904212,11757.916852691445,48266.67693534923,21921.727489874145,25987.35342232224,22453.089452123757
2060,240655.5566065558,47565.520204791916,10488.51445339363,92986.05440065135,42117.98499088944,11808.06288627445,48095.29870543212,22075.327831023664,25835.13327055233,22426.797140134608
