Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,0.7671768293862442,,,,,,,,,
2013,2.1285884146932403,,,,,,,,,
2014,3.4900000000002365,,,,,,,,,
2015,4.851411585307233,,,,,,,,,
2016,6.212823170614229,,,,,,,,,
2017,7.574234755921225,,,,,,,,,
2018,8.935646341228221,,,,,,,,,
2019,10.297057926535217,,,,,,,,,
2020,11.658469511842213,,,,,,,,,
2021,13.01988109714921,,,,,,,,,
2022,14.381292682456206,,,,,,,,,
2023,15.742704267763202,,,,,,,,,
2024,17.104115853070198,,,,,,,,,
2025,18.46552743837765,,,,,,,,,
2026,19.826939023684645,,,,,,,,,
2027,21.18835060899164,,,,,,,,,
2028,22.549762194298637,,,,,,,,,
2029,23.911173779605633,,,,,,,,,
2030,25.27258536491263,,,,,,,,,
2031,26.633996950219625,,,,,,,,,
2032,27.99540853552662,,,,,,,,,
2033,29.356820120833618,,,,,,,,,
2034,30.718231706140614,,,,,,,,,
2035,32.07964329144761,,,,,,,,,
2036,33.441054876754606,,,,,,,,,
2037,34.8024664620616,,,,,,,,,
2038,36.1638780473686,,,,,,,,,
2039,37.525289632675594,,,,,,,,,
2040,38.88670121798259,,,,,,,,,
2041,40.24811280329004,,,,,,,,,
2042,41.60952438859704,,,,,,,,,
2043,42.970935973904034,,,,,,,,,
2044,44.33234755921103,,,,,,,,,
2045,45.693759144518026,,,,,,,,,
2046,47.05517072982502,,,,,,,,,
2047,48.41658231513202,,,,,,,,,
2048,49.777993900439014,,,,,,,,,
2049,51.13940548574601,,,,,,,,,
2050,52.50081707105301,,,,,,,,,
2051,53.86222865636,,,,,,,,,
2052,55.223640241667,,,,,,,,,
2053,55.65227731572959,,,,,,,,,
2054,55.65227731572959,,,,,,,,,
2055,55.65227731572959,,,,,,,,,
2056,55.65227731572959,,,,,,,,,
2057,55.65227731572959,,,,,,,,,
2058,55.65227731572959,,,,,,,,,
2059,55.65227731572959,,,,,,,,,
2060,55.65227731572959,,,,,,,,,
