Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,14427.0,,,,,,,,,
2015,19465.8229724449,,,,,,,,,
2016,21592.126610277923,,,,,,,,,
2017,23842.658690561024,,,,,,,,,
2018,26218.947564556154,,,,,,,,,
2019,28722.521583525253,,,,,,,,,
2020,31354.909098730266,,,,,,,,,
2021,34117.63846143313,,,,,,,,,
2022,37012.238022895806,,,,,,,,,
2023,40040.23613438022,,,,,,,,,
2024,43203.16114714833,,,,,,,,,
2025,46502.541412462066,,,,,,,,,
2026,49939.90528158337,,,,,,,,,
2027,53516.781105774215,,,,,,,,,
2028,57234.69723629651,,,,,,,,,
2029,61095.182024412214,,,,,,,,,
2030,65099.763821383276,,,,,,,,,
2031,69249.97097847163,,,,,,,,,
2032,73547.33184693923,,,,,,,,,
2033,77993.374778048,,,,,,,,,
2034,82589.62812305993,,,,,,,,,
2035,87337.6202332369,,,,,,,,,
2036,92238.87945984089,,,,,,,,,
2037,97294.93415413384,,,,,,,,,
2038,102507.3126673777,,,,,,,,,
2039,107877.5433508344,,,,,,,,,
2040,113407.15455576591,,,,,,,,,
2041,119097.67463343413,,,,,,,,,
2042,124950.63193510103,,,,,,,,,
2043,130967.55481202857,,,,,,,,,
2044,136750.14715819628,,,,,,,,,
2045,142459.199984509,,,,,,,,,
2046,148431.0155497715,,,,,,,,,
2047,154673.4685888109,,,,,,,,,
2048,161194.34388112693,,,,,,,,,
2049,168001.39557295316,,,,,,,,,
2050,174940.50818960773,,,,,,,,,
2051,182505.05408630279,,,,,,,,,
2052,190217.2273884377,,,,,,,,,
2053,198246.07440915648,,,,,,,,,
2054,206598.534662271,,,,,,,,,
2055,215281.68344035282,,,,,,,,,
2056,224302.95638602794,,,,,,,,,
2057,233276.737198068,,,,,,,,,
2058,241936.5458553381,,,,,,,,,
2059,250784.77370805998,,,,,,,,,
2060,259822.94910749551,,,,,,,,,
