Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,0.0,,,,,,,,,
2015,1831.4097457477692,,,,,,,,,
2016,2194.603415643789,,,,,,,,,
2017,2619.7899960350405,,,,,,,,,
2018,3053.413692416354,,,,,,,,,
2019,4632.397109905367,,,,,,,,,
2020,5405.540771500004,,,,,,,,,
2021,6210.764687977724,,,,,,,,,
2022,7049.072311999029,,,,,,,,,
2023,7921.8428473925815,,,,,,,,,
2024,8830.83124915525,,,,,,,,,
2025,9778.168223452005,,,,,,,,,
2026,10766.360227616111,,,,,,,,,
2027,11798.28947014892,,,,,,,,,
2028,12877.213910719933,,,,,,,,,
2029,14006.76726016689,,,,,,,,,
2030,15190.958980495692,,,,,,,,,
2031,19089.953646602786,,,,,,,,,
2032,23191.531998524457,,,,,,,,,
2033,27511.468369412694,,,,,,,,,
2034,32067.07971659641,,,,,,,,,
2035,36877.225621581805,,,,,,,,,
2036,41962.308290051835,,,,,,,,,
2037,47344.27255186668,,,,,,,,,
2038,53046.605861063435,,,,,,,,,
2039,59094.33829585623,,,,,,,,,
2040,65514.0425586364,,,,,,,,,
2041,71324.76258260317,,,,,,,,,
2042,77498.0469534847,,,,,,,,,
2043,84059.57617150055,,,,,,,,,
2044,91036.2411535432,,,,,,,,,
2045,98456.14323317836,,,,,,,,,
2046,106348.59416064486,,,,,,,,,
2047,114744.11610285447,,,,,,,,,
2048,123674.44164339209,,,,,,,,,
2049,133172.5137825157,,,,,,,,,
2050,143272.4859371564,,,,,,,,,
2051,152741.83819318665,,,,,,,,,
2052,158662.2246784534,,,,,,,,,
2053,164866.32242560555,,,,,,,,,
2054,171362.95463902818,,,,,,,,,
2055,178160.9445231064,,,,,,,,,
2056,185269.11528222525,,,,,,,,,
2057,192696.29012077,,,,,,,,,
2058,200451.29224312567,,,,,,,,,
2059,208542.9448536774,,,,,,,,,
2060,216980.07115681033,,,,,,,,,
