Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,14427.0,,,,,,,,,
2015,18298.4852900188,,,,,,,,,
2016,19449.86734555063,,,,,,,,,
2017,20761.027836838624,,,,,,,,,
2018,22234.56283387556,,,,,,,,,
2019,23873.068406654187,,,,,,,,,
2020,25679.140625167267,,,,,,,,,
2021,27655.375559407563,,,,,,,,,
2022,29804.369279367835,,,,,,,,,
2023,32128.717855040843,,,,,,,,,
2024,34631.01735641935,,,,,,,,,
2025,37313.86385349611,,,,,,,,,
2026,40179.85341626388,,,,,,,,,
2027,43231.582114715435,,,,,,,,,
2028,46471.64601884353,,,,,,,,,
2029,49902.64119864092,,,,,,,,,
2030,53527.16372410037,,,,,,,,,
2031,57347.809665214634,,,,,,,,,
2032,61367.17509197648,,,,,,,,,
2033,65587.85607437868,,,,,,,,,
2034,70012.44868241396,,,,,,,,,
2035,74643.5489860751,,,,,,,,,
2036,79483.75305535487,,,,,,,,,
2037,84535.65696024601,,,,,,,,,
2038,89801.85677074129,,,,,,,,,
2039,95284.9485568335,,,,,,,,,
2040,100987.52838851535,,,,,,,,,
2041,106912.19233577963,,,,,,,,,
2042,113061.53646861907,,,,,,,,,
2043,119438.15685702648,,,,,,,,,
2044,126044.64957099457,,,,,,,,,
2045,132883.61068051617,,,,,,,,,
2046,139957.63625558396,,,,,,,,,
2047,147269.32236619073,,,,,,,,,
2048,154821.26508232925,,,,,,,,,
2049,162616.0604739923,,,,,,,,,
2050,170656.30461117259,,,,,,,,,
2051,178944.5935638629,,,,,,,,,
2052,187483.52340205602,,,,,,,,,
2053,196275.69019574465,,,,,,,,,
2054,205323.69001492162,,,,,,,,,
2055,214630.11892957965,,,,,,,,,
2056,224197.57300971152,,,,,,,,,
2057,233670.1679044699,,,,,,,,,
2058,243391.22804580256,,,,,,,,,
2059,253474.28829799767,,,,,,,,,
2060,263927.53608266526,,,,,,,,,
