Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,46816.078571245125,,,,,,,,,
2013,48338.41632710448,,,,,,,,,
2014,50701.39988411765,,,,,,,,,
2015,52348.750088910245,,,,,,,,,
2016,50875.70856895815,,,,,,,,,
2017,51778.67821829031,,,,,,,,,
2018,52627.2302171302,,,,,,,,,
2019,53429.57622629375,,,,,,,,,
2020,52455.87498364833,,,,,,,,,
2021,54929.45130281902,,,,,,,,,
2022,55644.505971979306,,,,,,,,,
2023,56348.442026315155,,,,,,,,,
2024,57050.625773572894,,,,,,,,,
2025,57760.372649455276,,,,,,,,,
2026,58486.74628784193,,,,,,,,,
2027,59238.76528454724,,,,,,,,,
2028,60025.68954891332,,,,,,,,,
2029,60856.8413414453,,,,,,,,,
2030,61741.54002604278,,,,,,,,,
2031,62689.06363261149,,,,,,,,,
2032,63708.682556326836,,,,,,,,,
2033,64809.7232128362,,,,,,,,,
2034,66001.53917106013,,,,,,,,,
2035,67293.52219886683,,,,,,,,,
2036,68695.09707296401,,,,,,,,,
2037,70215.7424115178,,,,,,,,,
2038,71864.9988223432,,,,,,,,,
2039,73652.46134829646,,,,,,,,,
2040,75587.75752862587,,,,,,,,,
2041,77680.55961946103,,,,,,,,,
2042,79940.54474971547,,,,,,,,,
2043,82377.3831526448,,,,,,,,,
2044,85000.75543210212,,,,,,,,,
2045,87820.40485233729,,,,,,,,,
2046,90846.1784030842,,,,,,,,,
2047,94087.99434921736,,,,,,,,,
2048,97555.77812550905,,,,,,,,,
2049,101259.49150584196,,,,,,,,,
2050,105233.04477707995,,,,,,,,,
2051,109414.83406631694,,,,,,,,,
2052,113886.69293976799,,,,,,,,,
2053,118634.57392791506,,,,,,,,,
2054,123668.23758341974,,,,,,,,,
2055,128997.5657766067,,,,,,,,,
2056,134632.66657418318,,,,,,,,,
2057,140583.9154082527,,,,,,,,,
2058,146861.81627045313,,,,,,,,,
2059,153477.06864773305,,,,,,,,,
2060,160440.40847684874,,,,,,,,,
