Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,48864.0,,,,,,,,,
2013,50490.0,,,,,,,,,
2014,52627.0,,,,,,,,,
2015,53476.0,,,,,,,,,
2016,55321.0,,,,,,,,,
2017,58097.0,,,,,,,,,
2018,60444.0,,,,,,,,,
2019,59891.905347764536,,,,,,,,,
2020,61048.49621036315,,,,,,,,,
2021,62111.71423712585,,,,,,,,,
2022,63085.615420160655,,,,,,,,,
2023,63974.7908238596,,,,,,,,,
2024,64784.191057339456,,,,,,,,,
2025,65518.97342020103,,,,,,,,,
2026,66184.37270307093,,,,,,,,,
2027,66785.59521493969,,,,,,,,,
2028,67327.73461034738,,,,,,,,,
2029,67815.70745142923,,,,,,,,,
2030,68254.20609808447,,,,,,,,,
2031,68647.66640612068,,,,,,,,,
2032,69000.2477645974,,,,,,,,,
2033,69315.82316489189,,,,,,,,,
2034,69597.97722081801,,,,,,,,,
2035,69850.01031747553,,,,,,,,,
2036,70074.94733186135,,,,,,,,,
2037,70275.54962402774,,,,,,,,,
2038,70454.32923342484,,,,,,,,,
2039,70613.56442544877,,,,,,,,,
2040,70755.31591598388,,,,,,,,,
2041,70881.44325702885,,,,,,,,,
2042,70993.62099594607,,,,,,,,,
2043,71093.35432691133,,,,,,,,,
2044,71181.99403858333,,,,,,,,,
2045,71260.75062975353,,,,,,,,,
2046,71330.70751755244,,,,,,,,,
2047,71392.8333032262,,,,,,,,,
2048,71447.99309081885,,,,,,,,,
2049,71496.9588762656,,,,,,,,,
2050,71532.045,,,,,,,,,
2051,71578.98698745077,,,,,,,,,
2052,71613.20898607177,,,,,,,,,
2053,71643.57125595723,,,,,,,,,
2054,71670.50636653,,,,,,,,,
2055,71694.39899629464,,,,,,,,,
2056,71715.59110882404,,,,,,,,,
2057,71734.38659657568,,,,,,,,,
2058,71751.05544126891,,,,,,,,,
2059,71765.83743645994,,,,,,,,,
2060,71778.9455147077,,,,,,,,,
