Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,46629.0,,,,,,,,,
2013,48119.0,,,,,,,,,
2014,50443.969827144305,,,,,,,,,
2015,52055.78181638224,,,,,,,,,
2016,51463.80223853505,,,,,,,,,
2017,52743.3884866792,,,,,,,,,
2018,54009.55358344533,,,,,,,,,
2019,55264.8728231129,,,,,,,,,
2020,54834.16168200391,,,,,,,,,
2021,57754.53759181303,,,,,,,,,
2022,58995.70460968177,,,,,,,,,
2023,60239.219881959216,,,,,,,,,
2024,61488.83020548623,,,,,,,,,
2025,62748.238189405296,,,,,,,,,
2026,64020.9551669957,,,,,,,,,
2027,65310.429456936414,,,,,,,,,
2028,66620.25770633653,,,,,,,,,
2029,67954.06304498506,,,,,,,,,
2030,68671.96355994805,,,,,,,,,
2031,70708.07309891624,,,,,,,,,
2032,72135.47649561134,,,,,,,,,
2033,73601.36147867462,,,,,,,,,
2034,75109.43946585068,,,,,,,,,
2035,76663.4061150708,,,,,,,,,
2036,78266.87831888169,,,,,,,,,
2037,79923.47304214755,,,,,,,,,
2038,81636.89058091826,,,,,,,,,
2039,83410.85318822718,,,,,,,,,
2040,85952.36912217463,,,,,,,,,
2041,87155.11087762516,,,,,,,,,
2042,89132.61236303493,,,,,,,,,
2043,91185.02373801704,,,,,,,,,
2044,93315.75274396209,,,,,,,,,
2045,95528.2238895505,,,,,,,,,
2046,97825.93999480407,,,,,,,,,
2047,100212.43526030664,,,,,,,,,
2048,102691.18263858544,,,,,,,,,
2049,105265.64094382516,,,,,,,,,
2050,107744.67884201315,,,,,,,,,
2051,110715.56298635388,,,,,,,,,
2052,113598.01095919195,,,,,,,,,
2053,116589.75525362714,,,,,,,,,
2054,119693.81909710815,,,,,,,,,
2055,122913.33932813228,,,,,,,,,
2056,126251.69511503643,,,,,,,,,
2057,129712.48697491772,,,,,,,,,
2058,133299.35402053496,,,,,,,,,
2059,137016.0596127784,,,,,,,,,
2060,140866.38819119183,,,,,,,,,
