Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,48864.0,,,,,,,,,
2013,50490.0,,,,,,,,,
2014,52956.95832441566,,,,,,,,,
2015,53448.395829226465,,,,,,,,,
2016,55294.75191460086,,,,,,,,,
2017,58073.88182946346,,,,,,,,,
2018,60425.55004543087,,,,,,,,,
2019,60115.1506505671,,,,,,,,,
2020,61676.19182950005,,,,,,,,,
2021,63198.89660826547,,,,,,,,,
2022,64732.33404494517,,,,,,,,,
2023,66285.04964478913,,,,,,,,,
2024,67864.58271155071,,,,,,,,,
2025,69478.68302111416,,,,,,,,,
2026,71135.98692543217,,,,,,,,,
2027,72845.64825327885,,,,,,,,,
2028,74616.29452671163,,,,,,,,,
2029,76456.5690333765,,,,,,,,,
2030,75909.45404331197,,,,,,,,,
2031,80379.8466706686,,,,,,,,,
2032,82479.65403725946,,,,,,,,,
2033,84683.44173802121,,,,,,,,,
2034,87000.49003717404,,,,,,,,,
2035,89439.7641404556,,,,,,,,,
2036,92009.8357384808,,,,,,,,,
2037,94718.58141564927,,,,,,,,,
2038,97573.35148486814,,,,,,,,,
2039,100580.99062719019,,,,,,,,,
2040,105255.40080414907,,,,,,,,,
2041,107083.22659807028,,,,,,,,,
2042,110593.10368383325,,,,,,,,,
2043,114285.45364533573,,,,,,,,,
2044,118167.62411507532,,,,,,,,,
2045,122246.88035343755,,,,,,,,,
2046,126530.3769754323,,,,,,,,,
2047,131025.20430676994,,,,,,,,,
2048,135738.43917587103,,,,,,,,,
2049,140677.11605997678,,,,,,,,,
2050,145502.6179940081,,,,,,,,,
2051,151258.4319933102,,,,,,,,,
2052,156914.629025213,,,,,,,,,
2053,162823.37203976503,,,,,,,,,
2054,168991.17085752115,,,,,,,,,
2055,175424.46858333316,,,,,,,,,
2056,182129.6596348325,,,,,,,,,
2057,189113.09261705892,,,,,,,,,
2058,196381.0766439057,,,,,,,,,
2059,203939.88421211066,,,,,,,,,
2060,211795.71378752857,,,,,,,,,
