Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,48864.0,,,,,,,,,
2013,50490.0,,,,,,,,,
2014,52956.95832441566,,,,,,,,,
2015,53448.395829226465,,,,,,,,,
2016,55294.75191460086,,,,,,,,,
2017,58073.88182946346,,,,,,,,,
2018,60425.55004543087,,,,,,,,,
2019,59197.81308705935,,,,,,,,,
2020,60222.09014293274,,,,,,,,,
2021,61126.4267512936,,,,,,,,,
2022,61959.38075337962,,,,,,,,,
2023,62729.62934514986,,,,,,,,,
2024,63444.92954784253,,,,,,,,,
2025,64113.29742133346,,,,,,,,,
2026,64743.610836656364,,,,,,,,,
2027,65345.218262547,,,,,,,,,
2028,65926.97472059856,,,,,,,,,
2029,66497.74106048974,,,,,,,,,
2030,67066.24473391387,,,,,,,,,
2031,67641.0515318745,,,,,,,,,
2032,68230.83976063976,,,,,,,,,
2033,68844.72664793752,,,,,,,,,
2034,69491.95968824452,,,,,,,,,
2035,70181.46295265833,,,,,,,,,
2036,70921.79694809407,,,,,,,,,
2037,71720.95640210848,,,,,,,,,
2038,72586.54141426289,,,,,,,,,
2039,73525.80406557661,,,,,,,,,
2040,73852.27765937969,,,,,,,,,
2041,75655.26130373767,,,,,,,,,
2042,76861.22538163465,,,,,,,,,
2043,78171.69013115502,,,,,,,,,
2044,79594.31690310135,,,,,,,,,
2045,81136.70438478597,,,,,,,,,
2046,82806.36988040766,,,,,,,,,
2047,84610.78000045262,,,,,,,,,
2048,86557.38145636569,,,,,,,,,
2049,88653.57935864887,,,,,,,,,
2050,91175.335843145,,,,,,,,,
2051,93323.98587864009,,,,,,,,,
2052,95912.59980129592,,,,,,,,,
2053,98679.61298726604,,,,,,,,,
2054,101632.0158314017,,,,,,,,,
2055,104776.73713846519,,,,,,,,,
2056,108120.65319558585,,,,,,,,,
2057,111670.58772460808,,,,,,,,,
2058,115433.3141098035,,,,,,,,,
2059,119415.55582004235,,,,,,,,,
2060,123623.96359898284,,,,,,,,,
