"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Spavik 2016 - Spivak, Jeffery. “Smart Glass out of the Shadows.” Urban Land Magazine, March 7, 2016. https://urbanland.uli.org/industry-sectors/infrastructure-transit/smart-glass-shadows/.",http://urbanland.uli.org/infrastructure-transit/smart-glass-shadows/,OECD90,USA,3 - For Profit,2016,,1076.0,2016US$/m2,62452102.48495243,US2014$/million m2 commercial floor space,,For SageGlass,
"Spavik 2016 - Spivak, Jeffery. “Smart Glass out of the Shadows.” Urban Land Magazine, March 7, 2016. https://urbanland.uli.org/industry-sectors/infrastructure-transit/smart-glass-shadows/.",http://urbanland.uli.org/infrastructure-transit/smart-glass-shadows/,OECD90,USA,3 - For Profit,2016,,538.0,2016US$/m2,31226051.242476214,US2014$/million m2 commercial floor space,,"""Sage officials say their prices have dropped by half in the last 4 years""",
"Tweney 2013 - Tweney, Dylan. “Heliotrope to Commercialize Light- and Heat-Blocking ‘Smart Glass.’” VentureBeat (blog), August 19, 2013. https://venturebeat.com/2013/08/19/heliotrope-smart-glass/.",http://venturebeat.com/2013/08/19/heliotrope-smart-glass/,World,,3 - For Profit,2013,,200.0,2013US$/ft2,129142137.38465571,US2014$/million m2 commercial floor space,,,
"Tavares et al (2014) - Tavares, Paulo, Hermano Bernardo, Adélio Gaspar, and António Martins. “Control Criteria of Electrochromic Glasses for Energy Savings in Mediterranean Buildings Refurbishment.” Solar Energy 134 (September 2016): 236–50. https://doi.org/10.1016/j.solener.2016.04.022.",http://www.sciencedirect.com/science/article/pii/S0301421513006812,OECD90,Portugal,1  - Peer Reviewed,2014,,1000.0,2014EUR/m2,78171247.90074262,US2014$/million m2 commercial floor space,,,
"E3T Site - E3T. “Electrochromic Windows.” Emerging Technologies. Accessed December 13, 2018. http://e3tnw.org/ItemDetail.aspx?id=262.",http://e3tnw.org/ItemDetail.aspx?id=262,OECD90,USA,2 - Public Sector/ Multilateral Agency,2013,,30.0,2013US$/ft2,19371320.60769836,US2014$/million m2 commercial floor space,,,
"US Office of Energy Efficiency and Renewable Energy - Office of Energy Efficiency & Renewable Energy. “Low-Cost Nanostructured Smart Window Coatings | Department of Energy,” 2013. https://www.energy.gov/eere/buildings/downloads/low-cost-nanostructured-smart-window-coatings.",http://energy.gov/eere/buildings/downloads/low-cost-nanostructured-smart-window-coatings,OECD90,USA,2 - Public Sector/ Multilateral Agency,2013,,50.0,2013US$/ft2,32285534.34616393,US2014$/million m2 commercial floor space,,,
"ViewGlass Business Plan - VG Smart Glass. “BG SmartGlass Business Plan Q1 2016,” 2016. https://www.sec.gov/Archives/edgar/data/1677843/000167784316000002/Business_Plan.pdf.",https://www.sec.gov/Archives/edgar/data/1677843/000167784316000002/Business_Plan.pdf,OECD90,USA,3 - For Profit,2016,,55.0,2016US$/ft2,34361106.15852962,US2014$/million m2 commercial floor space,,,
"Lampert 1994 - Lampert, C. “Towards Large-Area Photovoltaic Nanocells: Experiences Learned from Smart Window Technology.” Solar Energy Materials and Solar Cells 32, no. 3 (March 1994): 307–21. https://doi.org/10.1016/0927-0248(94)90266-6.",https://windows.lbl.gov/sites/default/files/39076.pdf,OECD90,USA,1  - Peer Reviewed,1994,,100.0,2003US$/ft2,81663410.40500286,US2014$/million m2 commercial floor space,,,
"Lampert 1994 - Lampert, C. “Towards Large-Area Photovoltaic Nanocells: Experiences Learned from Smart Window Technology.” Solar Energy Materials and Solar Cells 32, no. 3 (March 1994): 307–21. https://doi.org/10.1016/0927-0248(94)90266-6.",https://windows.lbl.gov/sites/default/files/39076.pdf,OECD90,USA,1  - Peer Reviewed,1994,,150.0,2003US$/ft2,11380179.638189161,US2014$/million m2 commercial floor space,,,
"Quality Smart Glass - Josh P. “Switchable Smart Glass from Quality Smart Glass | Smart Glass, Switchable Glass.” Glass Apps Source, June 18, 2014. https://www.glassappsource.com/smartglass/switchable-smart-glass-quality-smart-glass.html.",http://www.glassappsource.com/switchable-glass/switchable-smart-glass-quality-smart-glass.html,OECD90,USA,4 - Independently Verified,2016,,149.0,2016US$/ft2,93087360.32038024,US2014$/million m2 commercial floor space,,,
