VMA number,Title on xls,Fixed Mean,Fixed High,Fixed Low
1,Current Adoption,1.85,2.885615758860399,0.8143842411396012
2,CONVENTIONAL First Cost per Implementation Unit,39.3510612050925,58.652453895764936,20.049668514420066
3,SOLUTION First Cost per Implementation Unit,225.9430153073019,284.7553208503949,167.13070976420886
4,CONVENTIONAL Lifetime Capacity,23.75,41.33905909933786,6.1609409006621405
5,SOLUTION Lifetime Capacity,10.0,10.0,10.0
8,CONVENTIONAL Variable Operating Cost (VOM) per Functional Unit,738936667.283452,738936667.283452,738936667.283452
9,SOLUTION Variable Operating Cost (VOM) per Functional Unit,660411322.8072591,660411322.8072591,660411322.8072591
12,CONVENTIONAL Total Energy Used per Functional Unit,2.3240931447627027,2.3240931447627027,2.3240931447627027
13,SOLUTION Energy Efficiency Factor,0.1685,0.19182916629457641,0.1451708337054236
15,CONVENTIONAL Fuel Consumed per Functional Unit,23658.76830368019,31447.72971208967,15869.80689527071
16,SOLUTION Fuel Efficiency Factor,0.15785714285714286,0.21516939178833577,0.10054489392594995
23,Residential Electricity Price,139800000.0,139800000.0,139800000.0
24,Residential Fuel Price for Natural Gas,17500.000014,17500.000014,17500.000014
25,Learning Rates for Air Conditioners,0.13,0.17966554808583785,0.08033445191416218
26,Energy Consumed for Space Heating per Functional Unit - CONVENTIONAL,1.835720798239715,3.987146049624224,0.034531616789697364
27,Electricty Consumed for Space Cooling per Functional Unit - CONVENTIONAL,0.4883723465229877,1.2293033711486818,0.047296930223382355
