Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,335.46299999952316,,,,,,,,,
2015,558.7096872404218,,,,,,,,,
2016,775.1922574304044,,,,,,,,,
2017,984.9107105731964,,,,,,,,,
2018,1187.865046666935,,,,,,,,,
2019,1384.0552657116205,,,,,,,,,
2020,1573.4813677091151,,,,,,,,,
2021,1756.1433526575565,,,,,,,,,
2022,1932.041220555082,,,,,,,,,
2023,2101.1749714072794,,,,,,,,,
2024,2263.544605208561,,,,,,,,,
2025,2419.1501219626516,,,,,,,,,
2026,2567.991521667689,,,,,,,,,
2027,2710.0688043236732,,,,,,,,,
2028,2845.381969930604,,,,,,,,,
2029,2973.9310184903443,,,,,,,,,
2030,3095.715950001031,,,,,,,,,
2031,3210.7367644626647,,,,,,,,,
2032,3318.993461875245,,,,,,,,,
2033,3420.4860422406346,,,,,,,,,
2034,3515.214505556971,,,,,,,,,
2035,3603.178851824254,,,,,,,,,
2036,3684.3790810424834,,,,,,,,,
2037,3758.8151932135224,,,,,,,,,
2038,3826.4871883336455,,,,,,,,,
2039,3887.395066406578,,,,,,,,,
2040,3941.5388274323195,,,,,,,,,
2041,3988.9184714071453,,,,,,,,,
2042,4029.5339983347803,,,,,,,,,
2043,4063.385408213362,,,,,,,,,
2044,4090.4727010428905,,,,,,,,,
2045,4110.795876823366,,,,,,,,,
2046,4124.35493555665,,,,,,,,,
2047,4131.149877240881,,,,,,,,,
2048,4131.180701876059,,,,,,,,,
2049,4124.447409462184,,,,,,,,,
2050,4110.950000001118,,,,,,,,,
2051,4090.688473490998,,,,,,,,,
2052,4063.6628299318254,,,,,,,,,
2053,4029.8730693235993,,,,,,,,,
2054,3989.3191916681826,,,,,,,,,
2055,3942.0011969637126,,,,,,,,,
2056,3887.919085210189,,,,,,,,,
2057,3827.0728564076126,,,,,,,,,
2058,3759.4625105559826,,,,,,,,,
2059,3685.088047657162,,,,,,,,,
2060,3603.949467709288,,,,,,,,,
