Year,World
2012,
2013,
2014,6111.0
2015,6146.4
2016,6181.9
2017,6217.3
2018,6251.8
2019,6313.0
2020,6301.2
2021,6463.2
2022,6523.4
2023,6582.7
2024,6641.9
2025,6712.9
2026,6787.1
2027,6845.3
2028,6930.3
2029,6987.6
2030,7096.6
2031,7127.8
2032,7183.0
2033,7238.2
2034,7321.2
2035,7397.4
2036,7428.7
2037,7481.9
2038,7561.9
2039,7614.1
2040,7681.3
2041,7717.6
2042,7795.6
2043,7845.8
2044,7896.0
2045,7946.2
2046,8021.2
2047,8069.4
2048,8117.7
2049,8164.9
2050,8221.9
2051,8286.1
2052,8332.3
2053,8377.6
2054,8422.8
2055,8494.8
2056,8539.0
2057,8582.2
2058,8625.4
2059,8696.4
2060,8738.7
