Year,World
2012,
2013,
2014,6111.0
2015,6120.1
2016,6135.2
2017,6154.3
2018,6175.4
2019,6242.2
2020,6236.8
2021,6371.3
2022,6432.9
2023,6494.1
2024,6556.1
2025,6602.6
2026,6680.7
2027,6742.8
2028,6804.5
2029,6866.2
2030,6952.1
2031,6984.4
2032,7041.1
2033,7097.9
2034,7154.8
2035,7233.0
2036,7266.2
2037,7321.6
2038,7375.8
2039,7430.2
2040,7499.9
2041,7535.1
2042,7584.4
2043,7633.8
2044,7683.5
2045,7732.9
2046,7784.0
2047,7833.1
2048,7881.8
2049,7929.6
2050,7959.7
2051,8014.5
2052,8061.0
2053,8106.4
2054,8151.9
2055,8196.4
2056,8240.9
2057,8284.3
2058,8327.8
2059,8371.3
2060,8413.8
