"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"page 21 “Technical Roadmap: Solar Heating and Cooling”, International Energy Agency, 2012. www.iea.org low",https://www.iea.org/publications/freepublications/publication/Solar_Heating_Cooling_Roadmap_2012_WEB.pdf,World,,2 - Public Sector/ Multilateral Agency,2012,,,USD 2012/kW (th),0.0,US2014$/kW,,,
"page 21 “Technical Roadmap: Solar Heating and Cooling”, International Energy Agency, 2012. www.iea.org high",https://www.iea.org/publications/freepublications/publication/Solar_Heating_Cooling_Roadmap_2012_WEB.pdf,World,,2 - Public Sector/ Multilateral Agency,2012,,,USD 2012/kW (th),0.0,US2014$/kW,,,
"page 44 “Technical Roadmap: Solar Heating and Cooling”, International Energy Agency, 2012. www.iea.org ",https://www.iea.org/publications/freepublications/publication/Solar_Heating_Cooling_Roadmap_2012_WEB.pdf,EU,southern EU,2 - Public Sector/ Multilateral Agency,2012,,,USD 2012/kW (th),0.0,US2014$/kW,,,
"page 44 “Technical Roadmap: Solar Heating and Cooling”, International Energy Agency, 2012. www.iea.org low",https://www.iea.org/publications/freepublications/publication/Solar_Heating_Cooling_Roadmap_2012_WEB.pdf,EU,central EU,2 - Public Sector/ Multilateral Agency,2012,,,USD 2012/kW (th),0.0,US2014$/kW,,,
"page 44 “Technical Roadmap: Solar Heating and Cooling”, International Energy Agency, 2012. www.iea.org high",https://www.iea.org/publications/freepublications/publication/Solar_Heating_Cooling_Roadmap_2012_WEB.pdf,EU,central EU,2 - Public Sector/ Multilateral Agency,2012,,,USD 2012/kW (th),0.0,US2014$/kW,,,
"page 44 “Technical Roadmap: Solar Heating and Cooling”, International Energy Agency, 2012. www.iea.org low ",https://www.iea.org/publications/freepublications/publication/Solar_Heating_Cooling_Roadmap_2012_WEB.pdf,EU,northern EU,2 - Public Sector/ Multilateral Agency,2012,,,USD 2012/kW (th),0.0,US2014$/kW,,,
"page 44 “Technical Roadmap: Solar Heating and Cooling”, International Energy Agency, 2012. www.iea.org high",https://www.iea.org/publications/freepublications/publication/Solar_Heating_Cooling_Roadmap_2012_WEB.pdf,EU,northern EU,2 - Public Sector/ Multilateral Agency,2012,,,USD 2012/kW (th),0.0,US2014$/kW,,,
"Distributed Generation Renewable Energy Estimate of Costs (SWH, flat plate & evacuated tube) low",http://www.nrel.gov/analysis/pdfs/2012_dg_icoe_data.pdf,USA,,2 - Public Sector/ Multilateral Agency,2012,,,USD 2012/square feet,0.0,US2014$/kW,,,
"Distributed Generation Renewable Energy Estimate of Costs (SWH, flat plate & evacuated tube) high",http://www.nrel.gov/analysis/pdfs/2012_dg_icoe_data.pdf,USA,,2 - Public Sector/ Multilateral Agency,2012,,,USD 2012/square feet,0.0,US2014$/kW,,,
"Distributed Generation Renewable Energy Estimate of Costs (SWH, plastic collector) low",http://www.nrel.gov/analysis/pdfs/2012_dg_icoe_data.pdf,USA,,2 - Public Sector/ Multilateral Agency,2012,,,USD 2012/square feet,0.0,US2014$/kW,,,
"Distributed Generation Renewable Energy Estimate of Costs (SWH, plastic collector) high",http://www.nrel.gov/analysis/pdfs/2012_dg_icoe_data.pdf,USA,,2 - Public Sector/ Multilateral Agency,2012,,,USD 2012/square feet,0.0,US2014$/kW,,,
"page 77 REN21 Single family, new build, low",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,OECD90,,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21 Single family, new build, high",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,OECD90,,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Single family, retrofit, low",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,OECD90,,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Single family, retrofit, high",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,OECD90,,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Single family low",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,China,,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Single family, high",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,China,,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Multi-family, low, retrofit",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,OECD90,,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Multi-family, high, retrofit",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,OECD90,,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Multi-family, new, low",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,OECD90,,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Multi-family, new, high",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,OECD90,,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Thermosyphon direct, low",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,Middle East & Africa,Turkey,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Thermosyphon direct, high",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,Middle East & Africa,Turkey,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Thermosyphon direct, low",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,China,,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Thermosyphon direct, high",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,China,,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Thermosyphon direct, high",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,India,,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Thermosyphon direct, high",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,India,,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Thermosyphon direct, low",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,Middle East & Africa,South Africa,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Thermosyphon direct, high",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,Middle East & Africa,South Africa,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page77 REN21, Thermosyphon direct",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,OECD90,Australia,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page77 REN21, Thermosyphon indirect",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,USA,,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Pumped direct",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,USA,,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Pumped direct low",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,Middle East & Africa,South Africa,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Pumped direct high",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,Middle East & Africa,South Africa,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
"page 77 REN21, Pumped indirect",http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,USA,,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
page77 REN21 Pumped indirect low,http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,EU,Central Europe,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
page 77 REN21 Pumped indirect high,http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,EU,Central Europe,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
page77 REN21 Pumped indirect low,http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,EU,Northern Europe,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
page 77 REN21 Pumped indirect high,http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,EU,Northern Europe,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
page 77 REN21 Integral collector storage low,http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,USA,,2 - Public Sector/ Multilateral Agency,2015,,,USD 2015/kW (th),0.0,US2014$/kW,,,
