Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,38.81960000000001,,,,,,,,,
2013,54.043600000000005,,,,,,,,,
2014,75.4580241975742,,,,,,,,,
2015,145.37430581605346,,,,,,,,,
2016,169.08718732041504,,,,,,,,,
2017,193.5713947930908,,,,,,,,,
2018,218.88939859827144,,,,,,,,,
2019,245.10155181821398,,,,,,,,,
2020,265.94489118485984,,,,,,,,,
2021,300.4499491860643,,,,,,,,,
2022,329.7108138918348,,,,,,,,,
2023,360.11395065062163,,,,,,,,,
2024,391.7240056392143,,,,,,,,,
2025,424.6057984185628,,,,,,,,,
2026,458.82317814207903,,,,,,,,,
2027,494.4396065323365,,,,,,,,,
2028,531.5197064704707,,,,,,,,,
2029,570.1285331856342,,,,,,,,,
2030,609.4067985018415,,,,,,,,,
2031,652.1935950388184,,,,,,,,,
2032,695.7806738530903,,,,,,,,,
2033,741.1591695697884,,,,,,,,,
2034,788.3962443505358,,,,,,,,,
2035,837.5592445146124,,,,,,,,,
2036,888.7149395610404,,,,,,,,,
2037,941.9302675114128,,,,,,,,,
2038,997.2733355335321,,,,,,,,,
2039,1054.8128051316003,,,,,,,,,
2040,1116.2326059322659,,,,,,,,,
2041,1176.7544563650756,,,,,,,,,
2042,1241.2918640058579,,,,,,,,,
2043,1308.2951500952167,,,,,,,,,
2044,1377.828913114723,,,,,,,,,
2045,1449.9576683706782,,,,,,,,,
2046,1524.746831751722,,,,,,,,,
2047,1602.2621195664303,,,,,,,,,
2048,1682.5680839124875,,,,,,,,,
2049,1765.7287747495493,,,,,,,,,
2050,1869.3437489586167,,,,,,,,,
2051,1940.8697471125479,,,,,,,,,
2052,2032.9779099039192,,,,,,,,,
2053,2128.1896459645664,,,,,,,,,
2054,2226.5592297064136,,,,,,,,,
2055,2328.1422509100157,,,,,,,,,
2056,2432.9983367460786,,,,,,,,,
2057,2541.191174757314,,,,,,,,,
2058,2652.7852432345203,,,,,,,,,
2059,2767.8476018386937,,,,,,,,,
2060,2886.44595590684,,,,,,,,,
