Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,38.81960000000001,,,,,,,,,
2013,54.043600000000005,,,,,,,,,
2014,75.2292,,,,,,,,,
2015,117.49394738141672,,,,,,,,,
2016,181.35423471827485,,,,,,,,,
2017,255.53956781746922,,,,,,,,,
2018,339.58631596567596,,,,,,,,,
2019,433.03084844957124,,,,,,,,,
2020,539.3160930225239,,,,,,,,,
2021,646.2587435711317,,,,,,,,,
2022,765.1148447821494,,,,,,,,,
2023,891.51420747556,,,,,,,,,
2024,1024.9932009380402,,,,,,,,,
2025,1164.0431058817296,,,,,,,,,
2026,1311.3355573169126,,,,,,,,,
2027,1463.2716588066571,,,,,,,,,
2028,1620.4328682121757,,,,,,,,,
2029,1782.3555548201439,,,,,,,,,
2030,1946.1378670976835,,,,,,,,,
2031,2118.630836790135,,,,,,,,,
2032,2292.05617072551,,,,,,,,,
2033,2468.38845901004,,,,,,,,,
2034,2647.1640709304006,,,,,,,,,
2035,2827.919375773268,,,,,,,,,
2036,3010.190742825318,,,,,,,,,
2037,3193.514541373227,,,,,,,,,
2038,3377.427140703673,,,,,,,,,
2039,3561.4649101033283,,,,,,,,,
2040,3776.8,,,,,,,,,
2041,3928.0614362569795,,,,,,,,,
2042,4109.692931584326,,,,,,,,,
2043,4289.59507412759,,,,,,,,,
2044,4467.304233173446,,,,,,,,,
2045,4642.356778008569,,,,,,,,,
2046,4814.289077919638,,,,,,,,,
2047,4982.637502193325,,,,,,,,,
2048,5146.938420116312,,,,,,,,,
2049,5306.728200975271,,,,,,,,,
2050,5445.200000000001,,,,,,,,,
2051,5610.91982864781,,,,,,,,,
2052,5754.394414034745,,,,,,,,,
2053,5891.503339504356,,,,,,,,,
2054,6021.78297434332,,,,,,,,,
2055,6144.769687838315,,,,,,,,,
2056,6259.999849276015,,,,,,,,,
2057,6367.009827943098,,,,,,,,,
2058,6465.335993126239,,,,,,,,,
2059,6554.514714112114,,,,,,,,,
2060,6634.082360187399,,,,,,,,,
