Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,38.81960000000001,,,,,,,,,
2013,54.043600000000005,,,,,,,,,
2014,75.2292,,,,,,,,,
2015,95.27978057594348,,,,,,,,,
2016,113.4616812222665,,,,,,,,,
2017,132.73961400272438,,,,,,,,,
2018,153.06325038543682,,,,,,,,,
2019,174.38226183852376,,,,,,,,,
2020,196.18435516914522,,,,,,,,,
2021,219.80509582830018,,,,,,,,,
2022,243.80826130122932,,,,,,,,,
2023,268.6054877170122,,,,,,,,,
2024,294.1464465437686,,,,,,,,,
2025,326.78885740543706,,,,,,,,,
2026,347.25824730268124,,,,,,,,,
2027,374.72843217107715,,,,,,,,,
2028,402.7410353229259,,,,,,,,,
2029,431.2457282263472,,,,,,,,,
2030,461.37568651219055,,,,,,,,,
2031,489.530069160387,,,,,,,,,
2032,519.209060127245,,,,,,,,,
2033,549.1788267181549,,,,,,,,,
2034,579.3890404012367,,,,,,,,,
2035,610.6588339113193,,,,,,,,,
2036,640.3294949163944,,,,,,,,,
2037,670.9590786847102,,,,,,,,,
2038,701.6277954176768,,,,,,,,,
2039,732.2853165834143,,,,,,,,,
2040,763.1191717208462,,,,,,,,,
2041,793.365458085681,,,,,,,,,
2042,823.6874213584497,,,,,,,,,
2043,853.7968749364686,,,,,,,,,
2044,883.6434902878573,,,,,,,,,
2045,912.7958518847668,,,,,,,,,
2046,942.3468921832236,,,,,,,,,
2047,971.103021663441,,,,,,,,,
2048,999.3949987895074,,,,,,,,,
2049,1027.172495029543,,,,,,,,,
2050,1054.385181851667,,,,,,,,,
2051,1081.3413861620115,,,,,,,,,
2052,1106.9148131146612,,,,,,,,,
2053,1132.1311004917707,,,,,,,,,
2054,1156.5812643234483,,,,,,,,,
2055,1180.2149760778138,,,,,,,,,
2056,1202.9819072229868,,,,,,,,,
2057,1224.8317292270874,,,,,,,,,
2058,1245.7141135582358,,,,,,,,,
2059,1265.5787316845508,,,,,,,,,
2060,1284.375255074153,,,,,,,,,
