# Adoption Data for the Solar PV Rooftop solution
"Year", "World"
2012, 38.819600000000
2013, 54.043600000000
2014, 75.458024197574
2015, 150.000000000000
2016, 175.000000000000
2017, 250.000000000000
2018, 209.199121403535
2019, 237.264462429848
2020, 386.662076926230
2021, 298.224387108896
2022, 331.280262576197
2023, 366.162334745252
2024, 402.953631519167
2025, 441.737436019443
2026, 482.596086760242
2027, 525.611535495687
2028, 570.866984087861
2029, 618.446152407828
2030, 651.503522791820
2031, 720.911936480512
2032, 775.967102910249
2033, 833.684211647895
2034, 894.149670680261
2035, 957.450196604145
2036, 1023.671934407090
2037, 1092.901286329990
2038, 1165.226078538090
2039, 1240.734874697620
2040, 1294.824446513810
2041, 1401.657817448240
2042, 1487.246966777920
2043, 1576.368888662740
2044, 1669.107464006520
2045, 1765.546415981440
2046, 1865.770512871790
2047, 1969.864858168320
2048, 2077.913090180630
2049, 2189.998171888320
2050, 2317.014131132230
2051, 2426.609451865590
2052, 2551.301006241290
2053, 2680.351423167400
2054, 2813.830949490830
2055, 2951.811302686960
2056, 3094.369178352700
2057, 3241.586371846760
2058, 3393.545677455590
2059, 3550.333200282480
2060, 3712.035909778040
