# Adoption Data for the Solar PV Rooftop solution
"Year", "World"
2012, 38.81960000000
2013, 54.04360000000
2014, 75.22920000000
2015, 95.27978057594
2016, 113.46168122227
2017, 132.73961400272
2018, 153.06325038544
2019, 174.38226183852
2020, 214.15809249688
2021, 219.80509582830
2022, 243.80826130123
2023, 268.60548771701
2024, 294.14644654377
2025, 326.78885740544
2026, 347.25824730268
2027, 374.72843217108
2028, 402.74103532293
2029, 431.24572822635
2030, 477.38110810495
2031, 489.53006916039
2032, 519.20906012725
2033, 549.17882671816
2034, 579.38904040124
2035, 598.67397922388
2036, 640.32949491639
2037, 670.95907868471
2038, 701.62779541768
2039, 732.28531658341
2040, 738.85657664848
2041, 793.36545808568
2042, 823.68742135845
2043, 853.79687493647
2044, 883.64349028786
2045, 927.69648879883
2046, 942.34689218322
2047, 971.10302166344
2048, 999.39499878951
2049, 1027.17249502954
2050, 1054.38518185167
2051, 1081.34138616201
2052, 1106.91481311466
2053, 1132.13110049177
2054, 1156.58126432345
2055, 1180.21497607781
2056, 1202.98190722299
2057, 1224.83172922709
2058, 1245.71411355824
2059, 1265.57873168455
2060, 1284.37525507415
