Year, Drawdown TAM: Drawdown TAM - Post Integration - Plausible Scenario, Drawdown TAM: Drawdown TAM - Post Integration - Drawdown Scenario, Drawdown TAM: Drawdown TAM - Post Integration - Optimum Scenario
2012, 21534.00000000000, 21534.00000000000, 21534.00000000000
2013, 22203.00000000000, 22203.00000000000, 22203.00000000000
2014, 22548.29900000000, 22548.29900000000, 22548.29900000000
2015, 24689.22031414310, 24641.81556818450, 24618.92406917750
2016, 25378.20759047170, 25332.06016272470, 25207.15364885060
2017, 26074.63472780850, 26029.41550143790, 25793.30923812670
2018, 26783.36391748460, 26741.67450298040, 26384.33063099220
2019, 27504.42152694960, 27483.18103722190, 27002.68985095660
2020, 28193.37721351870, 28154.40836791750, 27536.20812276510
2021, 28983.60100149910, 28949.97964150440, 28170.95724356500
2022, 29722.98667122940, 29684.52247919110, 28732.54799498470
2023, 30467.15384084360, 30425.41042503180, 29279.65665775830
2024, 31217.04795587160, 31175.81799804630, 29826.32569267570
2025, 31932.00953749410, 31904.39085457530, 30335.61786968770
2026, 32738.61614965980, 32709.58513454750, 30908.43602765280
2027, 33504.99644372390, 33491.95777615800, 31440.07551730620
2028, 34280.16040412240, 34283.25512722300, 31961.75202133420
2029, 35056.93069107020, 35084.46270082730, 32483.48899466140
2030, 35907.64447490190, 35990.81386020540, 33333.92919980250
2031, 36609.40675837480, 36710.27975024480, 34072.56909131490
2032, 37379.66817861060, 37533.84298002710, 34916.60768052010
2033, 38153.01505550450, 38367.87282181750, 35773.38262874340
2034, 38933.90644204290, 39212.88280701240, 36643.12683057120
2035, 39787.40594523900, 40159.76457939490, 37616.30694858670
2036, 40493.76109969510, 40935.45563895750, 38415.59313978220
2037, 41276.93534929130, 41809.43328112020, 39313.88033777780
2038, 42066.60563469120, 42692.10786518650, 40221.70518257710
2039, 42853.10288687930, 43583.95441224110, 41138.83981096460
2040, 43550.60827118780, 44381.35335261610, 41961.72286887260
2041, 44441.00594240850, 45408.61166800320, 43015.62530709270
2042, 45246.48136814450, 46342.26189660570, 43975.41052542810
2043, 46045.78675015800, 47285.19557358560, 44943.71706914090
2044, 46846.75448700370, 48240.25403849790, 45923.73792618610
2045, 47641.54189680520, 49159.61788916580, 46865.81946768700
2046, 48457.43757815260, 50187.66023017960, 47915.37505593380
2047, 49261.67066283180, 51180.56190612540, 48927.28847601250
2048, 50066.31016890090, 52187.62096636090, 49950.28786258090
2049, 50974.77049762850, 53208.83276745500, 50983.74462200800
2050, 51969.64806628040, 54290.10840277330, 52073.21280665920
2051, 52658.35810526290, 55322.78112482230, 52143.85945414110
2052, 53482.73480175180, 56391.90140497770, 53108.37218502950
2053, 54310.28136039610, 57474.96339448840, 54077.80046727320
2054, 55166.39520691960, 58571.08556957840, 55051.98642919610
2055, 56002.90118012620, 59689.96285565150, 56104.79619900210
2056, 56836.67316592390, 60824.82239501570, 57193.70547069920
2057, 57672.02401120160, 61974.16328175980, 58292.05818927630
2058, 58508.88277790520, 63138.37157013000, 59400.75218087940
2059, 59333.20986884020, 64314.77479253140, 60518.40968441380
2060, 60153.72831753800, 65506.36030999570, 61645.04913661100
