Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,58.199999999999996,,,,,,,,,
2013,81.05999999999999,,,,,,,,,
2014,112.63303333333332,,,,,,,,,
2015,218.0614587240802,,,,,,,,,
2016,253.63078098062252,,,,,,,,,
2017,290.35709218963615,,,,,,,,,
2018,328.3340978974071,,,,,,,,,
2019,367.65232772732094,,,,,,,,,
2020,398.8878406361898,,,,,,,,,
2021,450.67492377909645,,,,,,,,,
2022,494.56622083775216,,,,,,,,,
2023,540.1709259759324,,,,,,,,,
2024,587.5860084588214,,,,,,,,,
2025,636.9086976278442,,,,,,,,,
2026,688.2347672131185,,,,,,,,,
2027,741.6594097985046,,,,,,,,,
2028,797.2795597057061,,,,,,,,,
2029,855.1927997784513,,,,,,,,,
2030,914.1101977527622,,,,,,,,,
2031,978.2903925582276,,,,,,,,,
2032,1043.6710107796353,,,,,,,,,
2033,1111.7387543546827,,,,,,,,,
2034,1182.5943665258035,,,,,,,,,
2035,1256.3388667719184,,,,,,,,,
2036,1333.0724093415606,,,,,,,,,
2037,1412.895401267119,,,,,,,,,
2038,1495.910003300298,,,,,,,,,
2039,1582.2192076974002,,,,,,,,,
2040,1674.3528303363887,,,,,,,,,
2041,1765.1316845476133,,,,,,,,,
2042,1861.9377960087868,,,,,,,,,
2043,1962.4427251428247,,,,,,,,,
2044,2066.743369672084,,,,,,,,,
2045,2174.9365025560173,,,,,,,,,
2046,2287.120247627583,,,,,,,,,
2047,2403.3931793496454,,,,,,,,,
2048,2523.852125868731,,,,,,,,,
2049,2648.5931621243235,,,,,,,,,
2050,2804.0156234379247,,,,,,,,,
2051,2911.3046206688214,,,,,,,,,
2052,3049.4668648558786,,,,,,,,,
2053,3192.2844689468498,,,,,,,,,
2054,3339.8388445596206,,,,,,,,,
2055,3492.2133763650236,,,,,,,,,
2056,3649.497505119118,,,,,,,,,
2057,3811.78676213597,,,,,,,,,
2058,3979.1778648517798,,,,,,,,,
2059,4151.7714027580405,,,,,,,,,
2060,4329.66893386026,,,,,,,,,
