Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,58.2,,,,,,,,,
2013,81.06,,,,,,,,,
2014,112.63,,,,,,,,,
2015,144.08,,,,,,,,,
2016,188.436,,,,,,,,,
2017,255.486,,,,,,,,,
2018,256.70517900957657,,,,,,,,,
2019,257.92435801915315,,,,,,,,,
2020,296.07931569863933,,,,,,,,,
2021,343.79239351503537,,,,,,,,,
2022,403.575935144989,,,,,,,,,
2023,477.94228426514803,,,,,,,,,
2024,569.4037845521602,,,,,,,,,
2025,680.4727796826734,,,,,,,,,
2026,813.6616133333351,,,,,,,,,
2027,971.4826291807935,,,,,,,,,
2028,1156.4481709016961,,,,,,,,,
2029,1371.0705821726908,,,,,,,,,
2030,1617.0,,,,,,,,,
2031,1843.20256054424,,,,,,,,,
2032,2093.267065472227,,,,,,,,,
2033,2368.4648527209456,,,,,,,,,
2034,2670.159439764209,,,,,,,,,
2035,2999.714344075829,,,,,,,,,
2036,3358.493083129618,,,,,,,,,
2037,3747.8591743993875,,,,,,,,,
2038,4169.176135358952,,,,,,,,,
2039,4623.80748348212,,,,,,,,,
2040,5113.116736242707,,,,,,,,,
2041,5638.467411114525,,,,,,,,,
2042,6201.223025571385,,,,,,,,,
2043,6802.747097087099,,,,,,,,,
2044,7444.4031431354815,,,,,,,,,
2045,8127.554681190341,,,,,,,,,
2046,8853.565228725494,,,,,,,,,
2047,9623.798303214751,,,,,,,,,
2048,10439.617422131925,,,,,,,,,
2049,11302.386102950826,,,,,,,,,
2050,12213.467863145266,,,,,,,,,
2051,13174.226220189063,,,,,,,,,
2052,14186.024691556022,,,,,,,,,
2053,15250.226794719962,,,,,,,,,
2054,16368.196047154688,,,,,,,,,
2055,17541.295966334015,,,,,,,,,
2056,18770.89006973176,,,,,,,,,
2057,20058.34187482173,,,,,,,,,
2058,21405.014899077738,,,,,,,,,
2059,22812.2726599736,,,,,,,,,
2060,24281.478674983122,,,,,,,,,
