Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,58.2,,,,,,,,,
2013,81.06,,,,,,,,,
2014,112.63,,,,,,,,,
2015,144.08,,,,,,,,,
2016,188.436,,,,,,,,,
2017,255.486,,,,,,,,,
2018,297.2189394309245,,,,,,,,,
2019,361.5642646645463,,,,,,,,,
2020,432.9433003550559,,,,,,,,,
2021,511.35604650245335,,,,,,,,,
2022,596.8025031067386,,,,,,,,,
2023,689.2826701679119,,,,,,,,,
2024,788.7965476859729,,,,,,,,,
2025,895.3441356609217,,,,,,,,,
2026,1008.9254340927582,,,,,,,,,
2027,1129.5404429814828,,,,,,,,,
2028,1257.1891623270951,,,,,,,,,
2029,1391.8715921295955,,,,,,,,,
2030,1533.6,,,,,,,,,
2031,1682.3375831052592,,,,,,,,,
2032,1838.121144278423,,,,,,,,,
2033,2000.938415908474,,,,,,,,,
2034,2170.7893979954133,,,,,,,,,
2035,2347.6740905392408,,,,,,,,,
2036,2531.5924935399557,,,,,,,,,
2037,2722.5446069975583,,,,,,,,,
2038,2920.530430912049,,,,,,,,,
2039,3125.5499652834274,,,,,,,,,
2040,3337.603210111694,,,,,,,,,
2041,3556.690165396848,,,,,,,,,
2042,3782.81083113889,,,,,,,,,
2043,4015.96520733782,,,,,,,,,
2044,4256.153293993639,,,,,,,,,
2045,4503.3750911063435,,,,,,,,,
2046,4757.630598675937,,,,,,,,,
2047,5018.919816702419,,,,,,,,,
2048,5287.2427451857875,,,,,,,,,
2049,5562.599384126044,,,,,,,,,
2050,5844.989733523189,,,,,,,,,
2051,6134.413793377221,,,,,,,,,
2052,6430.871563688142,,,,,,,,,
2053,6734.363044455949,,,,,,,,,
2054,7044.888235680646,,,,,,,,,
2055,7362.44713736223,,,,,,,,,
2056,7687.039749500702,,,,,,,,,
2057,8018.666072096061,,,,,,,,,
2058,8357.326105148308,,,,,,,,,
2059,8703.019848657445,,,,,,,,,
2060,9055.747302623467,,,,,,,,,
