Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,58.2,,,,,,,,,
2013,81.06,,,,,,,,,
2014,112.63,,,,,,,,,
2015,144.08,,,,,,,,,
2016,188.436,,,,,,,,,
2017,255.486,,,,,,,,,
2018,262.2308462174411,,,,,,,,,
2019,302.76013335102596,,,,,,,,,
2020,344.80633944900325,,,,,,,,,
2021,388.00010266478847,,,,,,,,,
2022,432.47032989785515,,,,,,,,,
2023,478.14221714765614,,,,,,,,,
2024,524.9337053676308,,,,,,,,,
2025,586.9113110433392,,,,,,,,,
2026,621.5558111373789,,,,,,,,,
2027,671.2433383381166,,,,,,,,,
2028,721.7545374974188,,,,,,,,,
2029,773.01996035185,,,,,,,,,
2030,833.323755427388,,,,,,,,,
2031,877.5361050093321,,,,,,,,,
2032,930.6505024641993,,,,,,,,,
2033,984.2550909566799,,,,,,,,,
2034,1038.2965722464535,,,,,,,,,
2035,1080.8352703254172,,,,,,,,,
2036,1147.4682643595197,,,,,,,,,
2037,1202.4753093242873,,,,,,,,,
2038,1257.669795336747,,,,,,,,,
2039,1312.9738529419703,,,,,,,,,
2040,1368.1641927100432,,,,,,,,,
2041,1423.6135976832293,,,,,,,,,
2042,1478.8173991969968,,,,,,,,,
2043,1533.8548074565404,,,,,,,,,
2044,1588.6587703717287,,,,,,,,,
2045,1637.7299160799594,,,,,,,,,
2046,1697.2982504288004,,,,,,,,,
2047,1750.999807385112,,,,,,,,,
2048,1804.2014239346877,,,,,,,,,
2049,1856.8383729002155,,,,,,,,,
2050,1907.829534123567,,,,,,,,,
2051,1960.1599495300043,,,,,,,,,
2052,2010.7157576100603,,,,,,,,,
2053,2060.4492277604777,,,,,,,,,
2054,2109.2964571579764,,,,,,,,,
2055,2155.9051938865246,,,,,,,,,
2056,2204.080948373019,,,,,,,,,
2057,2249.8952903131235,,,,,,,,,
2058,2294.577645049289,,,,,,,,,
2059,2338.0694298929343,,,,,,,,,
2060,2373.8549576870105,,,,,,,,,
