Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,58.199999999999996,,,,,,,,,
2013,81.05999999999999,,,,,,,,,
2014,112.63303333333332,,,,,,,,,
2015,118.48286515939655,,,,,,,,,
2016,140.78479028688938,,,,,,,,,
2017,165.8406898138484,,,,,,,,,
2018,193.98218465728507,,,,,,,,,
2019,225.53942046375138,,,,,,,,,
2020,262.24790712287364,,,,,,,,,
2021,300.22217939215005,,,,,,,,,
2022,344.0119709250345,,,,,,,,,
2023,392.54533221084233,,,,,,,,,
2024,446.1575701068179,,,,,,,,,
2025,505.18474562047595,,,,,,,,,
2026,569.9623008932211,,,,,,,,,
2027,640.8255499801145,,,,,,,,,
2028,718.1116423292548,,,,,,,,,
2029,802.1588343776896,,,,,,,,,
2030,893.6065024785192,,,,,,,,,
2031,991.8939451775306,,,,,,,,,
2032,1098.2624569199652,,,,,,,,,
2033,1212.7548988219917,,,,,,,,,
2034,1335.7161830019245,,,,,,,,,
2035,1467.4924787710756,,,,,,,,,
2036,1608.429851318494,,,,,,,,,
2037,1758.8754457852747,,,,,,,,,
2038,1919.1794177153035,,,,,,,,,
2039,2089.6940010277212,,,,,,,,,
2040,2298.6818208453146,,,,,,,,,
2041,2462.766760073198,,,,,,,,,
2042,2666.0298078656597,,,,,,,,,
2043,2880.910619008341,,,,,,,,,
2044,3107.7561234365107,,,,,,,,,
2045,3346.9129883821906,,,,,,,,,
2046,3598.7298966826534,,,,,,,,,
2047,3863.5563119834733,,,,,,,,,
2048,4141.738926794372,,,,,,,,,
2049,4433.6230153548295,,,,,,,,,
2050,4733.3775404659245,,,,,,,,,
2051,5059.87333039673,,,,,,,,,
2052,5394.928121435644,,,,,,,,,
2053,5745.042882971333,,,,,,,,,
2054,6110.533746180337,,,,,,,,,
2055,6491.7185711004695,,,,,,,,,
2056,6888.925030117563,,,,,,,,,
2057,7302.491606396173,,,,,,,,,
2058,7732.758945628974,,,,,,,,,
2059,8180.075315462767,,,,,,,,,
2060,8644.791319413702,,,,,,,,,
