Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,58.20000000000001,,,,,,,,,
2013,81.06,,,,,,,,,
2014,112.63,,,,,,,,,
2015,144.08,,,,,,,,,
2016,190.06000000000003,,,,,,,,,
2017,455.56787480195527,,,,,,,,,
2018,614.014967274789,,,,,,,,,
2019,790.9869704742067,,,,,,,,,
2020,1051.5883002530975,,,,,,,,,
2021,1411.649000805642,,,,,,,,,
2022,1779.6692352395257,,,,,,,,,
2023,2182.6649818273195,,,,,,,,,
2024,2618.023265050371,,,,,,,,,
2025,3108.253203042219,,,,,,,,,
2026,3575.375539327641,,,,,,,,,
2027,4092.143579344558,,,,,,,,,
2028,4630.822253922127,,,,,,,,,
2029,5188.798587541697,,,,,,,,,
2030,5769.7163414688375,,,,,,,,,
2031,6352.192329832234,,,,,,,,,
2032,6952.3837874658975,,,,,,,,,
2033,7561.421002066957,,,,,,,,,
2034,8176.690998116762,,,,,,,,,
2035,8790.217853524437,,,,,,,,,
2036,9415.477432487996,,,,,,,,,
2037,10033.767919772125,,,,,,,,,
2038,10647.839286430391,,,,,,,,,
2039,11255.078556944145,,,,,,,,,
2040,11861.497836137207,,,,,,,,,
2041,12438.608907463504,,,,,,,,,
2042,13009.67403643181,,,,,,,,,
2043,13563.455167180997,,,,,,,,,
2044,14097.339324192419,,,,,,,,,
2045,14634.007758147358,,,,,,,,,
2046,15164.721029927028,,,,,,,,,
2047,15785.45612183189,,,,,,,,,
2048,16406.84389573299,,,,,,,,,
2049,17028.207674470377,,,,,,,,,
2050,17644.39489712117,,,,,,,,,
2051,18182.113319286993,,,,,,,,,
2052,18797.7999642996,,,,,,,,,
2053,19410.84097825396,,,,,,,,,
2054,20020.55968399013,,,,,,,,,
2055,20626.27940434816,,,,,,,,,
2056,21227.323462168108,,,,,,,,,
2057,21823.01518029002,,,,,,,,,
2058,22412.677881553955,,,,,,,,,
2059,22995.63488879996,,,,,,,,,
2060,23571.20952486808,,,,,,,,,
