Year, Baseline: Based on- IEA ETP 2016 6DS, Baseline: Based on- AMPERE MESSAGE-MACRO Reference, Baseline: Based on- AMPERE GEM E3 Reference, Baseline: Based on- AMPERE IMAGE/TIMER Reference, Conservative: Based on- IEA ETP 2016 4DS, Conservative: Based on- AMPERE MESSAGE-MACRO 550, Conservative: Based on- AMPERE GEM E3 550, Conservative: Based on- AMPERE IMAGE/TIMER 550, Conservative: Based on- Greenpeace 2015 Reference, Ambitious: Based on- IEA ETP 2016 2DS, Ambitious: Based on- AMPERE MESSAGE-MACRO 450, Ambitious: Based on- AMPERE GEM E3 450, Ambitious: Based on- AMPERE IMAGE/TIMER 450, Ambitious: Based on- Greenpeace Energy [R]evolution, 100% REN: Based on- Greenpeace Advanced [R]evolution
2012, 1094.37849928963, 1094.10790295027, 1165.41710141058, 1116.53197896616, 1095.45965601617, 1101.67669810906, 1137.43302088472, 1063.98412215016, 1128.00000000000, 1108.38942144526, 1135.27952027904, 1142.69702839024, 1123.40671804277, 1128.00000000000, 1128.00000000000
2013, 1193.46777785036, 1236.44567107143, 1298.71879069849, 1183.11907420108, 1193.46777785036, 1249.68413018740, 1206.40005999288, 1083.44961814083, 1186.70718477328, 1193.46777785036, 1309.75151739650, 1210.66456309868, 1197.25681150725, 1179.29255014460, 1169.56944871343
2014, 1321.00030099792, 1402.13122691045, 1462.27751128823, 1291.99699293831, 1319.89535297714, 1419.80680556325, 1311.04288710003, 1145.59655398712, 1280.04349507428, 1306.68106279244, 1500.78053232208, 1313.73641115745, 1305.24033872340, 1260.67847006485, 1232.28718779610
2015, 1422.74832911186, 1534.54488789375, 1596.50148834309, 1389.48356343317, 1420.53768997522, 1554.82776788292, 1396.88782793948, 1201.89872391347, 1352.92100792077, 1394.10022278576, 1648.53506534136, 1397.48489793293, 1393.40529523736, 1324.69917481862, 1283.15351325926
2016, 1524.90073603491, 1661.26030967313, 1729.88397705513, 1500.95445914176, 1521.58293104019, 1682.71406276316, 1490.08981471819, 1275.32163533549, 1431.12648299519, 1481.90465011512, 1782.87868586913, 1488.36763215887, 1487.93409637328, 1396.91163015354, 1347.42404784688
2017, 1627.44928198314, 1782.73759626154, 1862.44575174319, 1625.86598562054, 1623.02230956091, 1804.02717320130, 1590.36835768868, 1365.10346887438, 1514.40890774506, 1570.07927773785, 1904.94437875972, 1586.31296469893, 1588.77238125323, 1477.00273927465, 1424.70635636460
2018, 1730.34410481194, 1899.41154883075, 1994.18552261178, 1763.66834106039, 1724.80571452335, 1919.30182719406, 1697.43337832892, 1470.48420970743, 1602.48566829616, 1658.57101836297, 2015.83179622205, 1691.23965948393, 1695.85512619876, 1564.63193090319, 1514.58734995679
2019, 1833.45547973357, 2011.65555280015, 2125.03971400275, 1913.76426056384, 1826.80363778445, 2029.01010642417, 1810.94839179453, 1590.66954117141, 1695.00488727898, 1747.25295474278, 2116.57221033920, 1803.02050769907, 1809.07035461850, 1659.39257440876, 1616.59246405826
2020, 1936.66987396253, 1905.45528102497, 1985.45408278986, 2231.07648528010, 1928.90295005153, 1881.97426933267, 1945.83457132778, 2034.38999097630, 1779.55513898321, 1836.01678303514, 1838.48358157205, 1955.27560354728, 1986.02441100438, 1776.47632386386, 1791.87039946060
2021, 2056.02696385249, 2224.42604056191, 2383.91907304769, 2248.52462743530, 2036.86684176500, 2233.69569001451, 2056.06753736434, 1872.35548547804, 1892.10142744594, 1929.57714190076, 2291.82144260229, 2046.72228758364, 2053.53446572759, 1868.81310522797, 1855.19530282599
2022, 2175.51412883067, 2325.86208739548, 2511.98914535210, 2432.15487237332, 2144.94380888232, 2329.78130868285, 2187.15645450311, 2032.41086406409, 1996.21686867304, 2023.23123462655, 2368.56375447445, 2178.54719808751, 2184.71651813980, 1982.89212580306, 1991.06098134329
2023, 2295.16080475963, 2424.59053079700, 2639.16158662050, 2625.91990508278, 2253.16343218749, 2422.41943510902, 2323.57790915136, 2204.30466735756, 2103.77140391340, 2117.00743930871, 2439.52368891436, 2316.94762859225, 2321.81060426800, 2102.86444685578, 2137.51545983752
2024, 2415.02835717987, 2521.04606857921, 2765.43823206273, 2829.28830361729, 2361.58593078325, 2512.14372388943, 2465.05936722122, 2387.30393335886, 2214.58693840045, 2210.96231592555, 2505.79594308915, 2461.86132246768, 2464.76869359280, 2228.49247842590, 2294.24696366255
2025, 2535.16880145367, 2615.66067302235, 2890.81770534956, 3041.72591679457, 2470.26152088664, 2599.48513567448, 2611.32594821929, 2580.67365780687, 2348.91219288325, 2305.14232118654, 2568.47279397382, 2613.22397833666, 2613.54062610231, 2365.39578721927, 2462.23690394340
2026, 2686.27327704677, 2708.86621777653, 3015.29811566013, 3262.69807285905, 2601.22493512956, 2684.97460606357, 2762.10252811341, 2783.67846631486, 2445.21812859614, 2419.18772501671, 2628.64697463397, 2770.97134650009, 2768.07624078676, 2495.70037765040, 2637.23941494337
2027, 2837.70298866944, 2801.08811435672, 3138.86983315150, 3491.66126934255, 2732.47717410590, 2769.13678022757, 2917.10684573292, 2995.57536129008, 2564.56278194650, 2533.48855745705, 2687.40570400435, 2935.03229235716, 2928.31847418601, 2636.69344671427, 2822.77016242231
