Year, Baseline: Based on- IEA ETP 2016 6DS, Baseline: Based on- AMPERE MESSAGE-MACRO Reference, Baseline: Based on- AMPERE GEM E3 Reference, Baseline: Based on- AMPERE IMAGE/TIMER Reference, Conservative: Based on- IEA ETP 2016 4DS, Conservative: Based on- AMPERE MESSAGE-MACRO 550, Conservative: Based on- AMPERE GEM E3 550, Conservative: Based on- AMPERE IMAGE/TIMER 550, Conservative: Based on- Greenpeace 2015 Reference, Ambitious: Based on- IEA ETP 2016 2DS, Ambitious: Based on- AMPERE MESSAGE-MACRO 450, Ambitious: Based on- AMPERE GEM E3 450, Ambitious: Based on- AMPERE IMAGE/TIMER 450, Ambitious: Based on- Greenpeace Energy [R]evolution, 100% REN: Based on- Greenpeace Advanced [R]evolution
2012, 1493.88807452876, 1746.48197427075, 1715.50387838742, 1422.92377952166, 1497.90947357370, 1744.42098130367, 1683.94474158549, 1396.97152166538, 1620.00000000000, 1504.33054851783, 1739.50847540219, 1711.78364963407, 1401.32754104808, 1620.00000000000, 1620.00000000000
2013, 1546.29503777637, 1847.00128898860, 1806.39577411991, 1489.30124584758, 1546.29503777637, 1846.23827043061, 1760.83380574037, 1445.69487648289, 1687.11082784820, 1546.29503777637, 1835.28084861255, 1791.70667179783, 1455.39398221743, 1663.90788317347, 1647.96161569784
2014, 1620.89851777793, 1978.62129988297, 1922.23485267651, 1579.82998228504, 1616.82128528108, 1978.32065852403, 1864.69160315085, 1518.39759762617, 1779.36724357117, 1610.31105957746, 1961.42202795744, 1895.85420481218, 1531.51632471660, 1722.16435661122, 1673.63501191171
2015, 1675.19368745762, 2090.03948173339, 2013.22176375931, 1653.52614787324, 1667.03356908792, 2089.46508271708, 1946.93485304413, 1575.41552559859, 1852.38863223664, 1654.00409078471, 2067.18594309445, 1974.99391461011, 1589.76211414395, 1765.37130829998, 1692.76784229659
2016, 1729.55858916249, 2205.57171329583, 2103.42703925811, 1730.19985483060, 1717.30995946734, 2204.07362999064, 2030.83829530730, 1635.90241615653, 1928.29825454841, 1697.75224625454, 2176.91599588704, 2053.03632653653, 1649.47554095460, 1815.51365654807, 1727.00544300576
2017, 1783.98254843656, 2325.23582184316, 2193.16212485220, 1810.07017949981, 1767.63990433931, 2322.26163327611, 2116.51336027839, 1699.99291631295, 2006.97321373815, 1741.54516930788, 2290.81321955709, 2130.32610894464, 1710.85593813653, 1872.63711085733, 1776.26413357309
2018, 1838.49307132268, 2449.13540980804, 2282.82257351176, 1893.42371816665, 1818.05068835598, 2444.23114138849, 2204.14967856149, 1767.88327461499, 2088.33317496561, 1785.40979109648, 2409.16437553956, 2207.28938572465, 1774.16604808923, 1936.82746965168, 1840.49773983654
2019, 1893.13030328288, 2577.43563386288, 2372.86031583536, 1980.59388535555, 1868.58185885063, 2570.24630763072, 2293.98912569911, 1839.81069810485, 2172.31320043131, 1829.38470390548, 2532.31753580502, 2284.40535431825, 1839.71004710561, 2008.18455680034, 1919.67339088951
2020, 1947.92031977158, 2727.92348024838, 2428.53391489473, 2105.47767763165, 1919.25882817140, 2694.07613493900, 2374.46286366765, 1985.77631774576, 2262.39083263225, 1873.49426128354, 2671.68205265621, 2397.32299003053, 1937.78617115442, 2153.44581953970, 2168.71848492650
2021, 2017.16645641293, 2847.72964488573, 2555.70517641684, 2167.58540210990, 1978.49765302667, 2835.30406182321, 2481.07471677884, 1996.59062842993, 2347.79902880934, 1922.10927453903, 2794.26111844012, 2440.84075560281, 1978.57816708991, 2172.73273903743, 2122.66384057510
