"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"IPCC WG3 AR5 (Table A.III.1) Solar PV, min",https://www.ipcc.ch/pdf/assessment-report/ar5/wg3/ipcc_wg3_ar5_annex-iii.pdf,World,,,1  - Peer Reviewed,2014,,,kWh/kW,0.0,TWh/TW/year,,,True
"IPCC WG3 AR5 (Table A.III.1) Solar PV, max",https://www.ipcc.ch/pdf/assessment-report/ar5/wg3/ipcc_wg3_ar5_annex-iii.pdf,World,,,1  - Peer Reviewed,2014,,,kWh/kW,0.0,TWh/TW/year,,,True
"REN21 2016, Africa, weighted average",http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf,Middle East and Africa,Africa,,2 - Public Sector/ Multilateral Agency,2014,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"REN21 2016, Asia, weighted average",http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf,Asia (Sans Japan),Asia,,2 - Public Sector/ Multilateral Agency,2014,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"REN21 2016, Central America and the Caribbean, weighted average",http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf,Latin America,Central America and the Caribbean,,2 - Public Sector/ Multilateral Agency,2014,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"REN21 2016, Eurasia, weighted average",http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf,Asia (Sans Japan),Eurasia,,2 - Public Sector/ Multilateral Agency,2014,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"REN21 2016, Europe, weighted average",http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf,EU,Europe,,2 - Public Sector/ Multilateral Agency,2014,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"REN21 2016, Middle East, weighted average",http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf,Middle East and Africa,Middle East,,2 - Public Sector/ Multilateral Agency,2014,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"REN21 2016, South America, weighted average",http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf,Latin America,South America,,2 - Public Sector/ Multilateral Agency,2016,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"REN21 2016, China, weighted average",http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf,China,China,,2 - Public Sector/ Multilateral Agency,2016,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"REN21 2016, India, weighted average",http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf,India,India,,2 - Public Sector/ Multilateral Agency,2016,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"REN21 2016, United States, weighted average",http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf,USA,USA,,2 - Public Sector/ Multilateral Agency,2016,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"IRENA 2014, Asia (Sans Japan)",http://www.irena.org/documentdownloads/publications/irena_re_power_costs_2014_report.pdf,Asia (Sans Japan),,,2 - Public Sector/ Multilateral Agency,2016,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"IRENA 2014, China",http://www.irena.org/documentdownloads/publications/irena_re_power_costs_2014_report.pdf,China,,,2 - Public Sector/ Multilateral Agency,2016,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"IRENA 2014, Middle East and Africa",http://www.irena.org/documentdownloads/publications/irena_re_power_costs_2014_report.pdf,Middle East and Africa,,,2 - Public Sector/ Multilateral Agency,2016,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"IRENA 2014, India",http://www.irena.org/documentdownloads/publications/irena_re_power_costs_2014_report.pdf,India,,,2 - Public Sector/ Multilateral Agency,2016,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"IRENA 2014, Latin America",http://www.irena.org/documentdownloads/publications/irena_re_power_costs_2014_report.pdf,Latin America,,,2 - Public Sector/ Multilateral Agency,2016,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"IRENA 2014, USA",http://www.irena.org/documentdownloads/publications/irena_re_power_costs_2014_report.pdf,USA,,,2 - Public Sector/ Multilateral Agency,2016,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"Bolinger, et al., 2015 (LBNL)",zotero://attachment/9207/,USA,,,2 - Public Sector/ Multilateral Agency,2016,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"Lazard's LCOE Analysis–Version 10.0, 2016, Solar PV utility scale Crystalline high",https://www.lazard.com/perspective/levelized-cost-of-energy-analysis-100/,USA,,,3 - For Profit,2016,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"Lazard's LCOE Analysis–Version 10.0, 2016, Solar PV utility scale Crystalline low",https://www.lazard.com/perspective/levelized-cost-of-energy-analysis-100/,USA,,,3 - For Profit,2016,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"Lazard's LCOE Analysis–Version 10.0, 2016, Solar PV utility scale Thin Film high",https://www.lazard.com/perspective/levelized-cost-of-energy-analysis-100/,USA,,,3 - For Profit,2016,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"Lazard's LCOE Analysis–Version 10.0, 2016, Solar PV utility scale Thin Film low",https://www.lazard.com/perspective/levelized-cost-of-energy-analysis-100/,USA,,,3 - For Profit,2010-2012,,,Capacity factor (%),0.0,TWh/TW/year,,,True
EIA 2016,https://www.eia.gov/electricity/monthly/pdf/epm.pdf,USA,,,2 - Public Sector/ Multilateral Agency,2014,,,Capacity factor (%),0.0,TWh/TW/year,,,True
EIA 2016,https://www.eia.gov/electricity/monthly/pdf/epm.pdf,USA,,,2 - Public Sector/ Multilateral Agency,2015,,,Capacity factor (%),0.0,TWh/TW/year,,,True
"Green et al, (2014). World Max Solar Cell Efficiency.Green, M. A. (2014). Solar Cell Efficiency Tables (Version 45). Wiley Online Library. doi:https://doi.org/10.1002/pip.2573. Table 3",https://onlinelibrary.wiley.com/doi/full/10.1002/pip.2573,World,Different Labs,,1  - Peer Reviewed,2014,,,Capacity factor (%),0.0,TWh/TW/year,,Exceptional case GaInP/GaAs Multijunction cells tested in AIST,True
"Green et al, (2014). World min Solar Cell Efficiency.Green, M. A. (2014). Solar Cell Efficiency Tables (Version 45). Wiley Online Library. doi:https://doi.org/10.1002/pip.2573. Table 3",https://onlinelibrary.wiley.com/doi/full/10.1002/pip.2573,World,Different Labs,,1  - Peer Reviewed,2014,,,Capacity factor (%),0.0,TWh/TW/year,,Confirmed case of organic cell tested in AIST,True
"NREL, (2018). US weighted average of Lifetime Capacity. NREL. (2018). Annual Technology Baseline. Golden.",https://atb.nrel.gov/electricity/2018/index.html?t=su,USA,,,2 - Public Sector/ Multilateral Agency,2016,,,Capacity factor (%),0.0,TWh/TW/year,,Capacity-weighted average AC capacity factor for US projects till 2016 end,False
"Bolinger et al, (2017). Min US Capacity Factor.Bolinger, M. S. (2017). An Empirical Analysis of Project Cost, Performance, and Pricing Trends in the United States. LBNL. (p-iii)",http://eta-publications.lbl.gov/sites/default/files/utility-scale_solar_2016_report.pdf,USA,,,2 - Public Sector/ Multilateral Agency,2016,,,Capacity factor (%),0.0,TWh/TW/year,,Minimum of 260 projects of 2016,False
