VMA number,Title on xls,Fixed Mean,Fixed High,Fixed Low
1,Current Adoption,62.374204262626286,142.3334541207152,-17.585045595462624
2,CONVENTIONAL First Cost per Implementation Unit,2010.0317085196398,3373.5568673016687,646.5065497376106
3,SOLUTION First Cost per Implementation Unit,1704.9545033511974,2690.405905707852,719.503100994543
4,CONVENTIONAL Lifetime Capacity,178021.6744009262,225212.4575469707,130830.89125488169
5,SOLUTION Lifetime Capacity,50134.311111111136,54709.973464154704,45558.64875806757
6,CONVENTIONAL Average Annual Use,4967.648441815689,6603.246811821508,3332.050071809869
7,SOLUTION Average Annual Use,1870.6771428571426,2531.725423862705,1209.62886185158
8,CONVENTIONAL Variable Operating Cost (VOM) per Functional Unit,0.0047524321679508165,0.007992783095689826,0.0015120812402118068
9,SOLUTION Variable Operating Cost (VOM) per Functional Unit,0.0,0.0,0.0
10,CONVENTIONAL Fixed Operating Cost (FOM),32.89064573433522,63.04748100463679,2.7338104640336525
11,SOLUTION Fixed Operating Cost (FOM),14.880895430084468,25.595335333162758,4.16645552700618
20,SOLUTION Indirect CO2 Emissions per Unit,45176.17647058824,64200.59421922749,26151.758721948987
23,2005-2014 Average CONVENTIONAL Fuel Price per functional unit,0.03446521920306304,0.04109236644397384,0.027838071962152235
24,Weighted Average CONVENTIONAL Plant Efficiency,0.4102147445137418,0.4736845414315057,0.3467449475959779
25,Coal Plant Efficiency,0.36697534187007497,0.4322357828600367,0.3017149008801132
26,Natural Gas Plant Efficiency,0.4733587008768759,0.565872832325824,0.3808445694279278
27,Oil Plant Efficiency,0.39,0.39,0.39
